hmis_id,hmis_code,hmis_name,hmis_section,hmis_section_id,dhis2_dataElement_id,dhis2_code,dhis2_name,dhis2_shortName,dhis2_dataset,dhis2_categoryCombo_id,dhis2_categoryOptionCombo_id,dhis2_categoryOptionCombo_name
1,EP01,Malaria,Epidemic-Prone Diseases,1.3.1,BWZFz9RJRPI,108-EP01a1,108-EP01a1. Malaria Total  - Cases,108-EP01a1. Malaria Total  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
2,EP01a,Suspected Malaria (fever),Epidemic-Prone Diseases,1.3.1,JhvC7ZR9hUe,105-EP01A,105-EP01a. Suspected Malaria (fever),105-EP01a. Suspected Malaria (fever),"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
3,EP01b,Malaria Tested (B/s & RDT),Epidemic-Prone Diseases,1.3.1,V6qtHkux6Io,105-EP01B,105-EP01b. Malaria Tested (B/s & RDT ),105-EP01b. Malaria Tested (B/s & RDT ),"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
4,EP01c,Malaria confirmed (B/s & RDT),Epidemic-Prone Diseases,1.3.1,wUDxFVBapIc,105-EP01C,105-EP01c. Malaria confirmed (B/s & RDT),105-EP01c. Malaria confirmed (B/s & RDT),"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
5,EP01d,Confirmed Malaria cases treated,Epidemic-Prone Diseases,1.3.1,VozjcVb9Fu8,105-EP01D,105-EP01d. Confirmed Malaria  cases treated,105-EP01d. Confirmed Malaria cases treated,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
6,EP01e,Total malaria cases treated,Epidemic-Prone Diseases,1.3.1,QHnwKs2OUZv,105-EP01E,105-EP01e Total malaria cases treated,105-EP01e. Total malaria cases treated,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
7,EP02,Acute Flaccid Paralysis,Epidemic-Prone Diseases,1.3.1,BwkikubZJae,108-EP02A,108-EP02a. Acute Flaccid Paralysis  - Cases,108-EP02a. Acute Flaccid Paralysis  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
8,EP03,Animal Bites (suspected rabies),Epidemic-Prone Diseases,1.3.1,oRuwiWtsLBk,108-EP03A,108-EP03a. Animal Bites (suspected rabies)  - Cases,108-EP03a. Animal Bites (suspected rabies) - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
9,EP04,Cholera,Epidemic-Prone Diseases,1.3.1,hSrTiWZ8HHx,108-EP04A,108-EP04a. Cholera  - Cases,108-EP04a. Cholera  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
10,EP05,Dysentery,Epidemic-Prone Diseases,1.3.1,RMQ0tjd8t4v,108-EP05A,108-EP05a. Dysentery  - Cases,108-EP05a. Dysentery  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
11,EP06,Guinea Worm,Epidemic-Prone Diseases,1.3.1,JqtIzFBoPP8,108-EP06A,108-EP06a. Guinea Worm  - Cases,108-EP06a. Guinea Worm  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
12,EP07,Measles,Epidemic-Prone Diseases,1.3.1,zKPIYeXkjwr,108-EP07A,108-EP07a. Measles  - Cases,108-EP07a. Measles  - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
13,EP08,Bacterial Meningitis,Epidemic-Prone Diseases,1.3.1,Sqp9021uSu2,105-EP08,105-EP08. Bacterial Meningitis,105-EP08. Bacterial Meningitis,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
14,EP09,Neonatal tetanus,Epidemic-Prone Diseases,1.3.1,TDvR6wooe0z,105-EP09,105-EP09. Neonatal tetanus,105-EP09. Neonatal tetanus,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
15,EP10,Plague,Epidemic-Prone Diseases,1.3.1,YhGqBI5c7Zt,105-EP10,105-EP10. Plague,105-EP10. Plague,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
16,EP11,Yellow Fever,Epidemic-Prone Diseases,1.3.1,WHf6QK827ub,105-EP11,105-EP11. Yellow Fever,105-EP11. Yellow Fever,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
17,EP12,Other Viral Haemorrhagic Fevers,Epidemic-Prone Diseases,1.3.1,cQFHqwol7ql,105-EP12,105-EP12. Other Viral Haemorrhagic Fevers,105-EP12. Other Viral Haemorrhagic Fevers,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
18,EP13,Severe Acute Respiratory Infection (SARI),Epidemic-Prone Diseases,1.3.1,GMdWrlWwh1w,105-EP13,105-EP13. Severe Acute Respiratory Infection (SARI),105-EP13. Severe Acute Respiratory Infection,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
19,EP14a,Adverse Events Following Immunization (AEFI) - Serious,Epidemic-Prone Diseases,1.3.1,heRf8NdGtgO,105-EP14,105-EP14. Adverse Events Following Immunization (AEFI),105-EP14. Adverse Events Following Immunization,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",Xhqf9CdYM4g,xJwbtyfWyl3,"20+Yrs, Female, Non-serious"
20,EP14b,Adverse Events Following Immunization (AEFI) - Non Serious,Epidemic-Prone Diseases,1.3.1,ByBrKCeV16r,108-HF06A2,108-HF06a2. Adverse Events Following Immunization (AEFI) - Non serious  - Cases,108-HF06a2. AEFI (Non-serious) - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
21,EP15,Typhoid Fever,Epidemic-Prone Diseases,1.3.1,r4fQVHDftNs,105-EP15,105-EP15. Typhoid Fever,105-EP15. Typhoid Fever,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
22,EP16,Refampicin resistant TB cases,Epidemic-Prone Diseases,1.3.1,imZQ4a2hYci,105-EP16,105-EP16. Refampicin resistant TB cases,105-EP16. Refampicin resistant TB cases,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
23,EP17,Other Emerging infectious Diseases eg Influenza like illness (ILI) SARS,Epidemic-Prone Diseases,1.3.1,B0avY8vCdEW,105-EP17,"105-EP17. Other Emerging infectious Diseases(e.g influenza like illness(ILI), SARS",105-EP17. Other Emerging infectious Diseases,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
24,EP18,Covid,Epidemic-Prone Diseases,1.3.1,hnKT07rI10V,108-EP18a,108-EP18a. Covid-19 - Cases,108-EP18a. Covid-19 - Cases,HMIS 108 - IPD Monthly Report,RQsR5eSRbsr,ZgnHXnu30cI,"5+Yrs, Male"
25,CD01,Diarrhoea Acute,Other Infectious/Communicable Diseases,1.3.2,LiSyn6bblsc,105-CD01,105-CD01. Diarrhoea -  Acute,105-CD01. Diarrhoea -  Acute,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
26,CD02,Diarrhoea Persistent,Other Infectious/Communicable Diseases,1.3.2,Kz1EDWfsQvI,105-CD02,105-CD02. Diarrhoea -  Persistent,105-CD02. Diarrhoea - Persistent,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
27,CD03,Urethral discharges,Other Infectious/Communicable Diseases,1.3.2,MIzh6JUSxX9,105-CD03,105-CD03. Urethral discharges,105-CD03. Urethral discharges,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
28,CD04,Genital ulcers,Other Infectious/Communicable Diseases,1.3.2,MxD5pnf5rVM,105-CD04,105-CD04. Genital ulcers,105-CD04. Genital ulcers,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
29,CD05,Sexually Transmitted Infection due to Sexual Gender Based Violence,Other Infectious/Communicable Diseases,1.3.2,Cw3RNymXWjr,105-CD05,105-CD05. Sexually Transmitted Infection due to Sexual Gender Based Violence,105-CD05. STI due to (Sexual GBV),"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)",esaNB4G5AHs,wDiX34aiw6i,"0-28Dys, Female"
