hmis_id,hmis_code,hmis_name,hmis_section,hmis_section_id,dhis2_dataElement_id,dhis2_code,dhis2_name,dhis2_shortName,dhis2_dataset,dhis2_categoryCombo_id,dhis2_categoryOptionCombo_id,dhis2_categoryOptionCombo_name
1,"004-DN02","004-DN02. Names of deceased","","","HCbRydAAt1T","004-DN02","004-DN02. Names of deceased","004-DN02. Names of deceased","","bjDvmb4bfuf","HllvX50cXC0","default"
2,"004-DN03","004-DN03. Inpatient Number","","","YNXzLwM2R6p","004-DN03","004-DN03. Inpatient Number","004-DN03. Inpatient Number","","bjDvmb4bfuf","HllvX50cXC0","default"
3,"004-DN04","004-DN04. Village of residence ( LC I)","","","WFSWhrHOUFl","004-DN04","004-DN04. Village of residence ( LC I)","004-DN04. Village of residence ( LC I)","","bjDvmb4bfuf","HllvX50cXC0","default"
4,"004-DN05","004-DN05. Sub-county (LC III)","","","xQoLDOeMANl","004-DN05","004-DN05. Sub-county (LC III)","004-DN05. Sub-county (LC III)","","bjDvmb4bfuf","HllvX50cXC0","default"
5,"004-DN06","004-DN06. District","","","MwBfsz2pc0j","004-DN06","004-DN06. District","004-DN06. District","","bjDvmb4bfuf","HllvX50cXC0","default"
6,"004-DN07","004-DN07. Age of deceased (yrs)","","","rXcIphzS2GV","004-DN07","004-DN07. Age of deceased (yrs)","004-DN07. Age of deceased (yrs)","","bjDvmb4bfuf","HllvX50cXC0","default"
7,"004-DN08","004-DN08. Next of kin","","","IBlMJxS9Qe7","004-DN08","004-DN08. Next of kin","004-DN08. Next of kin","","bjDvmb4bfuf","HllvX50cXC0","default"
8,"004-DN09","004-DN09. Gestational Age (wks)","","","jhisgRfr13C","004-DN09","004-DN09. Gestational Age (wks)","004-DN09. Gestational Age (wks)","","bjDvmb4bfuf","HllvX50cXC0","default"
9,"004-DN10","004-DN10. Admission Date","","","sUANwZ1PzLm","004-DN10","004-DN10. Admission Date","004-DN10. Admission Date","","bjDvmb4bfuf","HllvX50cXC0","default"
10,"004-DN11","004-DN11. Admission date and time","","","r6tDKOx4iVL","004-DN11","004-DN11. Admission date and time","004-DN11. Admission date and time","","bjDvmb4bfuf","HllvX50cXC0","default"
11,"004-DN12","004-DN12. Date of Death","","","cAErhJ9zcee","004-DN12","004-DN12. Date of Death","004-DN12. Date of Death","","bjDvmb4bfuf","HllvX50cXC0","default"
12,"004-DN13","004-DN13. Date and Time of Death","","","qWAqTjmR6Dj","004-DN13","004-DN13. Date and Time of Death","004-DN13. Date and Time of Death","","bjDvmb4bfuf","HllvX50cXC0","default"
13,"004-DN14","004-DN14. Died","","","FvHDEzD1M0A","004-DN14","004-DN14. Died","004-DN14. Died","","bjDvmb4bfuf","HllvX50cXC0","default"
14,"004-DN15","004-DN15. Possible cause(s) of death","","","cdAirZ9dQKj","004-DN15","004-DN15. Possible cause(s) of death","004-DN15. Possible cause(s) of death","","bjDvmb4bfuf","HllvX50cXC0","default"
15,"004-DN16","004-DN16. Form filled by","","","v7mt2RBEWEq","004-DN16","004-DN16. Form filled by","004-DN16. Form filled by","","bjDvmb4bfuf","HllvX50cXC0","default"
16,"004-DN17","004-DN17. Filled by Telephone contact","","","HRWIjaS9i4M","004-DN17","004-DN17. Filled by Telephone contact","004-DN17. Filled by Telephone contact","","bjDvmb4bfuf","HllvX50cXC0","default"
17,"004-DN18","004-DN18. Form Delivered/sent by ( Name)","","","ZmbVtTXyG29","004-DN18","004-DN18. Form Delivered/sent by ( Name)","004-DN18. Form Delivered/sent by ( Name)","","bjDvmb4bfuf","HllvX50cXC0","default"
18,"004-DN19","004-DN19. Delivered by Telephone contact","","","jVfTrVzuRoP","004-DN19","004-DN19. Delivered by Telephone contact","004-DN19. Delivered by Telephone contact","","bjDvmb4bfuf","HllvX50cXC0","default"
19,"004-DN20","004-DN20. Form received by ( Name)","","","YP7LbXgv1c8","004-DN20","004-DN20. Form received by ( Name)","004-DN20. Form received by ( Name)","","bjDvmb4bfuf","HllvX50cXC0","default"
20,"004-DN21","004-DN21. NIN","","","j9euMjl5QGc","004-DN21","004-DN21. NIN","004-DN21. NIN","","bjDvmb4bfuf","HllvX50cXC0","default"
21,"004-DN22","004-DN22. Form received by (Date)","","","wc08DzejMce","004-DN22","004-DN22. Form received by (Date)","004-DN22. Form received by (Date)","","bjDvmb4bfuf","HllvX50cXC0","default"
22,"016-MP01","016-MP01. Total no. of deliveries","","","AYIVNA5WMsE","016-MP01","016-MP01. Total no. of deliveries","016-MP01. Total no. of deliveries","","bjDvmb4bfuf","HllvX50cXC0","default"
23,"016-MP02","016-MP02. Total no. of maternal deaths","","","HMHsIvZDb7n","016-MP02","016-MP02. Total no. of maternal deaths","016-MP02. Total no. of maternal deaths","","bjDvmb4bfuf","HllvX50cXC0","default"
