"report_month","vaccine_id","vaccine_name","Under1y","1-4y","5-14y"
"202504",9,DPT+HIB+HEPB 3,5,0,0
"202504",30,PCV 3,5,0,0
"202504",13,Rota 1,8,0,0
"202504",15,Yellow Fever,0,3,0
"202504",32,p,1,0,0
"202504",29,PCV 2,7,0,0
"202504",5,Polio 3,5,0,0
"202504",6,IPV 1,8,0,0
"202504",17,Measles 2,1,1,0
"202504",3,Polio 1,8,0,0
"202504",14,Rota 2,7,0,0
"202504",27,IPV 2,5,0,0
"202504",16,Measles 1,0,4,0
"202504",28,PCV 1,8,0,0
"202504",46,DEWORMER(ALBENDAZOLE 200MG) 2ND DOSE,1,5,0
"202504",8,DPT+HIB+HEPB 2,7,0,0
"202504",31,ROTA 3,5,0,0
"202504",7,DPT+HIB+HEPB 1,8,0,0
"202504",45,DEWORMER(ALBENDAZOLE 200MG) 1ST DOSE,0,2,0
"202504",44,"VITAMIN A 200,000IU(60MG)",1,7,0
"202504",43,"VITAMIN A 100,000IU(30MG)",4,0,0
"202504",4,Polio 2,7,0,0
"202504",25,yellow fever,0,1,0
"202503",46,DEWORMER(ALBENDAZOLE 200MG) 2ND DOSE,1,12,0
"202503",14,Rota 2,23,0,1
"202503",8,DPT+HIB+HEPB 2,23,0,1
"202503",1,BCG,5,0,0
"202503",30,PCV 3,18,0,0
"202503",45,DEWORMER(ALBENDAZOLE 200MG) 1ST DOSE,3,9,0
"202503",9,DPT+HIB+HEPB 3,20,0,0
"202503",7,DPT+HIB+HEPB 1,40,0,0
"202503",17,Measles 2,1,6,0
"202503",10,Pneumococcal 1,1,0,0
"202503",6,IPV 1,39,0,0
"202503",3,Polio 1,39,0,0
"202503",4,Polio 2,24,0,1
"202503",29,PCV 2,23,0,1
"202503",44,"VITAMIN A 200,000IU(60MG)",1,16,0
"202503",25,yellow fever,1,7,0
"202503",13,Rota 1,37,0,0
"202503",15,Yellow Fever,0,6,0
"202503",38,"0.5 ML",1,0,0
"202503",16,Measles 1,2,13,0
"202503",18,Vitamin A,1,0,0
"202503",12,Pneumococcal 3,1,0,0
"202503",43,"VITAMIN A 100,000IU(30MG)",11,7,0
"202503",5,Polio 3,18,0,0
"202503",27,IPV 2,21,0,0
"202503",49,HEP-B-O-DOSE,1,0,0
"202503",31,ROTA 3,17,0,0
"202503",2,Polio(Birth dose),2,0,0
"202503",28,PCV 1,37,0,0
"202502",17,Measles 2,1,1,0
"202502",8,DPT+HIB+HEPB 2,6,0,0
"202502",10,Pneumococcal 1,0,0,1
"202502",25,yellow fever,0,2,0
"202502",5,Polio 3,3,0,0
"202502",26,DEWORMING,0,8,0
"202502",29,PCV 2,4,0,0
"202502",4,Polio 2,6,0,0
"202502",31,ROTA 3,1,0,0
"202502",2,Polio(Birth dose),1,0,0
"202502",9,DPT+HIB+HEPB 3,3,0,0
"202502",6,IPV 1,4,0,1
"202502",13,Rota 1,4,0,0
"202502",16,Measles 1,0,3,0
"202502",7,DPT+HIB+HEPB 1,4,0,1
"202502",1,BCG,1,0,0
"202502",27,IPV 2,2,0,0
"202502",30,PCV 3,3,0,0
"202502",14,Rota 2,6,0,0
"202502",12,Pneumococcal 3,2,0,0
"202502",28,PCV 1,4,0,0
"202502",3,Polio 1,4,0,1
"202502",18,Vitamin A,0,9,0
"202502",11,Pneumococcal 2,3,0,0
"202410",7,DPT+HIB+HEPB 1,0,0,0
"202409",19,Tetanus toxoid Dose 1,0,0,0
"202402",3,Polio 1,0,1,0
