"id","dataelement","categoryoptioncombo"
1,Zwa7Jhjo9Uk,HllvX50cXC0
2,tN2himdDz2h,SUCYKqhN0Jk
3,tN2himdDz2h,LhwUTDmUr6D
4,tN2himdDz2h,sIyf5RrDuXo
5,tN2himdDz2h,H0GMvofBUk5
6,fpqDkJLzPhp,HllvX50cXC0
7,cXy4Pwau1SF,HllvX50cXC0
8,BTaKlp6GJR8,HllvX50cXC0
9,FozqVr5QFG2,HllvX50cXC0
10,EyFiFBDoISI,HllvX50cXC0
11,EyFiFBDoISI,Kq56swi3KAi
12,EyFiFBDoISI,oVc5PtW8IsH
13,EyFiFBDoISI,dqUlEsSUs8w
14,EyFiFBDoISI,xgiuSKF9lKY
15,EyFiFBDoISI,WQ8FzlyAWIM
16,uhq6VuwA5Mf,SUCYKqhN0Jk
17,uhq6VuwA5Mf,LhwUTDmUr6D
18,uhq6VuwA5Mf,sIyf5RrDuXo
19,uhq6VuwA5Mf,H0GMvofBUk5
20,ZVKD2XRg6Ab,ksBfihkwBeu
21,ZVKD2XRg6Ab,BhgBkEr8t85
22,ZVKD2XRg6Ab,HWLodA23UGt
23,ZVKD2XRg6Ab,CvQdPZAFY4k
24,ZVKD2XRg6Ab,z5ewc0K90Q8
25,ZVKD2XRg6Ab,HTMSuJ2wUcx
26,ZVKD2XRg6Ab,YpZHGtTSv2K
27,ZVKD2XRg6Ab,BhfsRQm30RP
28,ZVKD2XRg6Ab,nAjAOWdxMh8
29,ZVKD2XRg6Ab,UrCqRbuJiSe
30,nB8riSN0Et8,GwP082GoFFb
31,nB8riSN0Et8,z1p6NyW5Qma
32,nB8riSN0Et8,iksllLevLly
33,nB8riSN0Et8,N894O8C4D1K
34,nB8riSN0Et8,k1wZTiq1ak7
35,nB8riSN0Et8,ktw8i4MloMA
36,nB8riSN0Et8,OotSMQryDEQ
37,nB8riSN0Et8,b7kXaQnJm9V
38,nB8riSN0Et8,FwEUa9CNSi9
39,nB8riSN0Et8,Alo8ylKFLdx
40,nB8riSN0Et8,KF2ll4nbGGM
41,nB8riSN0Et8,azHQ2bLPoDm
42,nB8riSN0Et8,SWNNx7l4ntG
43,nB8riSN0Et8,GkSva1iCykh
44,nB8riSN0Et8,lzFQ00Z5iki
45,nB8riSN0Et8,zwUpUid7rdY
46,nB8riSN0Et8,pID2iSZijVs
47,nB8riSN0Et8,lL6tO5gxeax
48,nB8riSN0Et8,AAuyeo5V0Eg
49,nB8riSN0Et8,wlSWbys5dTn
50,nB8riSN0Et8,xGLNSzBvft3
51,nB8riSN0Et8,rTxuwQzM58u
52,nB8riSN0Et8,wazO9t1ytPH
53,nB8riSN0Et8,OKjEq3tzhCk
54,nB8riSN0Et8,KIT6YrwtFCp
55,Ex31WlJUSqs,JtoaNPpY2BF
56,Ex31WlJUSqs,PwuKTzy4vLJ
