section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),uALBQG7TFhq,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),uALBQG7TFhq,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),uALBQG7TFhq,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),uALBQG7TFhq,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),uALBQG7TFhq,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),JFFBnljIWTT,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),JFFBnljIWTT,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),JFFBnljIWTT,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),JFFBnljIWTT,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN17,Pregnant women newly tested for HIV (NEG & POS),JFFBnljIWTT,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),uzlQdD84jNj,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),uzlQdD84jNj,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),uzlQdD84jNj,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),uzlQdD84jNj,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),uzlQdD84jNj,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),wFmMiaWgMIU,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),wFmMiaWgMIU,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),wFmMiaWgMIU,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),wFmMiaWgMIU,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN18,Pregnant Women tested HIV POS (1st time this pregnancy),wFmMiaWgMIU,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD4,sq6TGqoX9H0,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD5,sq6TGqoX9H0,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD6,sq6TGqoX9H0,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD7,sq6TGqoX9H0,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD8,sq6TGqoX9H0,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD9,sq6TGqoX9H0,HllvX50cXC0,default
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD10,gO6V4EfyAgr,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD11,gO6V4EfyAgr,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD12,gO6V4EfyAgr,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD13,gO6V4EfyAgr,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN19,HIV+ Pregnant women assessed by CD14,gO6V4EfyAgr,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN20,HIV+ pregnant women initiated on ART/eMTCT,L4pwIgSDdG6,HllvX50cXC0,default
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,UXuUvbgPqVc,"15-19Yrs, Negative"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,BaWI6qkhScq,"15-19Yrs, Positive"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,sM7n9AMlT5g,"<15Yrs, Negative"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,H9qJO0yGTKz,"<15Yrs, Positive"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,DXp1CZrZg7M,"20-24Yrs, Negative"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,TvOOJYjd3iR,"20-24Yrs, Positive"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,YFlzt691Hm8,"25-49Yrs, Negative"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,nmvDqGogEyw,"25-49Yrs, Positive"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,u6TZwW7LKHG,"50+Yrs, Negative"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,fmyu6PJJeQW,"50+Yrs, Positive"
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,rr3xZKoBXYt,HllvX50cXC0,default
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,b78oMBcC5R8,PwuKTzy4vLJ,15-19Yrs
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,b78oMBcC5R8,JtoaNPpY2BF,<15Yrs
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,b78oMBcC5R8,c9JPAeQh49R,20-24Yrs
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,b78oMBcC5R8,QGprPUGJp4N,25-49Yrs
2.1,Antenatal,,,AN21,Pregnant Women who knew status before 1st ANC,b78oMBcC5R8,sxBbkmHxnBP,50+Yrs
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,UXuUvbgPqVc,"15-19Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,BaWI6qkhScq,"15-19Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,sM7n9AMlT5g,"<15Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,H9qJO0yGTKz,"<15Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,DXp1CZrZg7M,"20-24Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,TvOOJYjd3iR,"20-24Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,YFlzt691Hm8,"25-49Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,nmvDqGogEyw,"25-49Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,u6TZwW7LKHG,"50+Yrs, Negative"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,fmyu6PJJeQW,"50+Yrs, Positive"
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,F9kTTMoE00R,HllvX50cXC0,Pregnant women who re-tested later in pregnancy - Total
2.1,Antenatal,,,AN22,Pregnant women who re-tested later in pregnancy,Un1MGK9qAU1,HllvX50cXC0,Pregnant women who re-tested later in pregnancy - Total
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,Y0Gaon8coI0,HllvX50cXC0,Eligible for a Viral Load during the month
2.1,Antenatal,,,AN23,HIV+ pregnant women-Viral Load Samples collected,IZKuxgNUZY2,Kq56swi3KAi,"10-14Yrs
"
