section_id,section_name,eafya_product_id,eafya_product_name,hmis_name,hmis_code,unit,dhis2_data_element_id,data_element_name
6.1,Stock Status,725,Artemether+ Lumefantrine (6's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,RIBMopGoWHl,Quantity Consumed
6.1,Stock Status,725,Artemether+ Lumefantrine (6's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,pDoc60OZDbH,Days out of stock
6.1,Stock Status,725,Artemether+ Lumefantrine (6's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,fy34HLoHa0x,Stock at Hand
6.1,Stock Status,725,Artemether+ Lumefantrine (6's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,Q6ne3khBitH,Quantity Expired
6.1,Stock Status,685,Artemether + Lumefantrine(24's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,RIBMopGoWHl,Quantity Consumed
6.1,Stock Status,685,Artemether + Lumefantrine(24's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,pDoc60OZDbH,Days out of stock
6.1,Stock Status,685,Artemether + Lumefantrine(24's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,fy34HLoHa0x,Stock at Hand
6.1,Stock Status,685,Artemether + Lumefantrine(24's) (coartem),Artemether/Lumefantrine 20/120mg,SS01,Tablet,Q6ne3khBitH,Quantity Expired
6.1,Stock Status,141,Artesunate,Artesunate 60mg,SS02,Vial,FNT0AWnEok7,Quantity Consumed
6.1,Stock Status,141,Artesunate,Artesunate 60mg,SS02,Vial,eSjJv1tjFWu,Days out of stock
6.1,Stock Status,141,Artesunate,Artesunate 60mg,SS02,Vial,O3hT4aIhzLi,Stock at Hand
6.1,Stock Status,141,Artesunate,Artesunate 60mg,SS02,Vial,Jdb1lBj4uoP,Quantity Expired
6.1,Stock Status,,,Long Lasting Insecticidal Nets (LLINs),SS03,Piece,LM7oz5Glohw,Quantity Consumed
6.1,Stock Status,,,Long Lasting Insecticidal Nets (LLINs),SS03,Piece,So21oM09xKL,Days out of stock
6.1,Stock Status,,,Long Lasting Insecticidal Nets (LLINs),SS03,Piece,eJjn1Av0vHI,Stock at Hand
6.1,Stock Status,,,Long Lasting Insecticidal Nets (LLINs),SS03,Piece,f65rrKcnJLg,Quantity Expired
6.1,Stock Status,59,Chlorhexidine gel,Chlorhexidine Digluconate Gel 7.1%,SS04,Tube,RvUzMtiTOnh,Quantity Consumed
6.1,Stock Status,59,Chlorhexidine gel,Chlorhexidine Digluconate Gel 7.1%,SS04,Tube,pnkTSdn1z9e,Days out of stock
6.1,Stock Status,59,Chlorhexidine gel,Chlorhexidine Digluconate Gel 7.1%,SS04,Tube,NH01RQyn58l,Stock at Hand
6.1,Stock Status,59,Chlorhexidine gel,Chlorhexidine Digluconate Gel 7.1%,SS04,Tube,tgtarB7Bvsx,Quantity Expired
6.1,Stock Status,10,Therapeutic Milk,Therapeutic milk F75 (75Kcal/100ml),SS05,Can,aB6rpIpPXWf,Quantity Consumed
6.1,Stock Status,10,Therapeutic Milk,Therapeutic milk F75 (75Kcal/100ml),SS05,Can,RUgRUwwMAlh,Days out of stock
6.1,Stock Status,10,Therapeutic Milk,Therapeutic milk F75 (75Kcal/100ml),SS05,Can,YhhLA8HoLr7,Stock at Hand
6.1,Stock Status,10,Therapeutic Milk,Therapeutic milk F75 (75Kcal/100ml),SS05,Can,uhDyKR4nE95,Quantity Expired
6.1,Stock Status,8,Ready to use Therapeutic feeds (RUTF),Ready to use Therapeutic feeds (RUTF),SS06,Sachet,MaYXvxNPKGR,Quantity Consumed
6.1,Stock Status,8,Ready to use Therapeutic feeds (RUTF),Ready to use Therapeutic feeds (RUTF),SS06,Sachet,Ftnf3Yn7oht,Days out of stock
6.1,Stock Status,8,Ready to use Therapeutic feeds (RUTF),Ready to use Therapeutic feeds (RUTF),SS06,Sachet,zc7pf9ctwyc,Stock at Hand
6.1,Stock Status,8,Ready to use Therapeutic feeds (RUTF),Ready to use Therapeutic feeds (RUTF),SS06,Sachet,avFhBPl6YUj,Quantity Expired
6.1,Stock Status,,,Oral Liquid Morphine 5mg/5mL,SS07,Bottle of 500ml,wIp7Gr1lf7S,Quantity Consumed
6.1,Stock Status,,,Oral Liquid Morphine 5mg/5mL,SS07,Bottle of 500ml,d9yRtY7kB3L,Days out of stock
6.1,Stock Status,,,Oral Liquid Morphine 5mg/5mL,SS07,Bottle of 500ml,wHgX40UfiCw,Stock at Hand
6.1,Stock Status,,,Oral Liquid Morphine 5mg/5mL,SS07,Bottle of 500ml,JxQNnKwaTbR,Quantity Expired
6.1,Stock Status,272,Vitamin A (Retinol),Retinol (Vitamin A) 200000IU,SS08,Capsule,iQJkiLHfOyZ,Quantity Consumed
6.1,Stock Status,272,Vitamin A (Retinol),Retinol (Vitamin A) 200000IU,SS08,Capsule,Wc8HjvOATV9,Days out of stock
6.1,Stock Status,272,Vitamin A (Retinol),Retinol (Vitamin A) 200000IU,SS08,Capsule,T3I0ee84Xrp,Stock at Hand
6.1,Stock Status,272,Vitamin A (Retinol),Retinol (Vitamin A) 200000IU,SS08,Capsule,jTFze4K9xBv,Quantity Expired
6.1,Stock Status,,,Bendrofluazide 5mg,SS09,Tablet,ELUJ8kvdyTi,Quantity Consumed
6.1,Stock Status,,,Bendrofluazide 5mg,SS09,Tablet,jbVZGLCmLcE,Days out of stock
6.1,Stock Status,,,Bendrofluazide 5mg,SS09,Tablet,xfyEsSF1Yeh,Stock at Hand
6.1,Stock Status,,,Bendrofluazide 5mg,SS09,Tablet,io2jyFaluMb,Quantity Expired
6.1,Stock Status,716,Amlodipine,Amlodipine 5mg,SS10,Tablet,u0eqaAAypzu,Quantity Consumed
6.1,Stock Status,716,Amlodipine,Amlodipine 5mg,SS10,Tablet,aeoCYWtyaGU,Days out of stock
6.1,Stock Status,716,Amlodipine,Amlodipine 5mg,SS10,Tablet,vfrGRFSS7ei,Stock at Hand
6.1,Stock Status,716,Amlodipine,Amlodipine 5mg,SS10,Tablet,MMmOpkseCwP,Quantity Expired
6.1,Stock Status,754,Captopril,Captopril 25mg,SS11,Tablet,GgypgARVxzI,Quantity Consumed
6.1,Stock Status,754,Captopril,Captopril 25mg,SS11,Tablet,YDbEU5bBWyJ,Days out of stock
6.1,Stock Status,754,Captopril,Captopril 25mg,SS11,Tablet,QIy53MYZZHq,Stock at Hand
6.1,Stock Status,754,Captopril,Captopril 25mg,SS11,Tablet,bZGloO0dfM6,Quantity Expired
6.1,Stock Status,897,Metformin HCl,Metformin 500mg,SS12,Tablet,klbaYAoSygw,Quantity Consumed
6.1,Stock Status,897,Metformin HCl,Metformin 500mg,SS12,Tablet,wiqUBGIcpQd,Days out of stock
6.1,Stock Status,897,Metformin HCl,Metformin 500mg,SS12,Tablet,msmJxt9LGqX,Stock at Hand
6.1,Stock Status,897,Metformin HCl,Metformin 500mg,SS12,Tablet,pgMS4A4T41F,Quantity Expired
6.1,Stock Status,688,Metformin Glucophage,Metformin 500mg,SS12,Tablet,klbaYAoSygw,Quantity Consumed
6.1,Stock Status,688,Metformin Glucophage,Metformin 500mg,SS12,Tablet,wiqUBGIcpQd,Days out of stock
