id,section_id,section_name,eafya_hmis_id,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,category_optioncombo_id,category_optioncombo_name,createdAt,updatedAt
1,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,wDiX34aiw6i,"0-28Dys, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
2,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,zh2zAaHyYQx,"0-28Dys, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
3,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,u3CkZqMHfHP,"10-19Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
4,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,c7gvocRdg0f,"10-19Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
5,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,XVHTeecEOM3,"20+Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
6,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,dCKzhhINakS,"20+Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
7,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,huBy3W5qiD2,"29Dys-4Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
8,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,V2OuNTRI6ua,"29Dys-4Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
9,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,Crc5reUlspd,"5-9Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
10,1.1,Outpatient Attendnace,0,,,OA01,New attendance,sv6SeKroHPV,F1rms8f9I9a,"5-9Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
11,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,wDiX34aiw6i,"0-28Dys, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
12,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,zh2zAaHyYQx,"0-28Dys, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
13,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,u3CkZqMHfHP,"10-19Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
14,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,c7gvocRdg0f,"10-19Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
15,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,XVHTeecEOM3,"20+Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
16,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,dCKzhhINakS,"20+Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
17,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,huBy3W5qiD2,"29Dys-4Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
18,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,V2OuNTRI6ua,"29Dys-4Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
19,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,Crc5reUlspd,"5-9Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
20,1.1,Outpatient Attendnace,0,,,OA02,Reattendance,sQ4EexvvhVe,F1rms8f9I9a,"5-9Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
21,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,wDiX34aiw6i,"0-28Dys, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
22,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,zh2zAaHyYQx,"0-28Dys, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
23,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,u3CkZqMHfHP,"10-19Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
24,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,c7gvocRdg0f,"10-19Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
25,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,XVHTeecEOM3,"20+Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
26,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,dCKzhhINakS,"20+Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
27,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,huBy3W5qiD2,"29Dys-4Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
28,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,V2OuNTRI6ua,"29Dys-4Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
29,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,Crc5reUlspd,"5-9Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
30,1.2,Outpatient Referrals,0,,,OR01,Referrals to unit,vC9pW0FEvd2,F1rms8f9I9a,"5-9Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
31,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,wDiX34aiw6i,"0-28Dys, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
32,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,zh2zAaHyYQx,"0-28Dys, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
33,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,u3CkZqMHfHP,"10-19Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
34,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,c7gvocRdg0f,"10-19Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
35,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,XVHTeecEOM3,"20+Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
36,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,dCKzhhINakS,"20+Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
37,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,huBy3W5qiD2,"29Dys-4Yrs, Female",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
38,1.2,Outpatient Referrals,0,,,OR02 , Referrals from unit ,aU0n2RXwQJC,V2OuNTRI6ua,"29Dys-4Yrs, Male",2025-06-14 12:31:53.170 +0300,2025-06-14 12:31:53.170 +0300
