section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.3,Postnatal,,,PN13,Cancer of the breast,eWYmABy3bIe,HllvX50cXC0,Clients screened for cancer of the breast
2.3,Postnatal,,,PN14,Cancer of the Cervix,X6G2WoGb4r3,HllvX50cXC0,Cervical Cancer Screening-Number with pre-malignant cancer of the cervix
2.3,Postnatal,,,PN14,Cancer of the Cervix,tA2bFyzLtwd,HllvX50cXC0,Clients screened for cancer of the cervix
2.3,Postnatal,,,PN15,Lactating mothers who received Nutritional assessment,TkPGLLgBpWR,HllvX50cXC0,Lactating mothers who received Nutritional assessment - Total
2.3,Postnatal,,,PN15,Lactating mothers who received Nutritional assessment,AAjeczxMEya,HllvX50cXC0,Lactating mothers who received Nutritional assessment-MAM & SAM
2.3,Postnatal,,,PN15,Lactating mothers who received Nutritional assessment,kVxxrDU9QrQ,HllvX50cXC0,Lactating mothers who received Nutritional assessment - HIV POS
2.3,Postnatal,,,PN16,Post-natal mothers who received Counselling,,,
2.3,Postnatal,,,PN06,HIV+ women initiating ART in Postnatal,ctuIcyUKiHs,HllvX50cXC0,HIV+ women initiating ART in Postnatal
2.3,Postnatal,,,PN06,HIV+ women initiating ART in Postnatal,fYOmKMoV3Iq,HllvX50cXC0,HIV+ women initiating ART in Postnatal
2.3,Postnatal,,,PN06,HIV+ women initiating ART in Postnatal,BdXf0FPwUcX,HllvX50cXC0,HIV+ women initiating ART in Postnatal
2.3,Postnatal,,,PN06,HIV+ women initiating ART in Postnatal,kGC9MVJppnk,HllvX50cXC0,HIV+ women initiating ART in Postnatal
2.3,Postnatal,,,PN07,HIV+ breast feeding mothers newly enrolled in MCH groups,ctuIcyUKiHs,HllvX50cXC0,HIV+ breast feeding mothers newly enrolled in MCH groups
2.3,Postnatal,,,PN07,HIV+ breast feeding mothers newly enrolled in MCH groups,fYOmKMoV3Iq,HllvX50cXC0,HIV+ breast feeding mothers newly enrolled in MCH groups
2.3,Postnatal,,,PN07,HIV+ breast feeding mothers newly enrolled in MCH groups,BdXf0FPwUcX,HllvX50cXC0,HIV+ breast feeding mothers newly enrolled in MCH groups
2.3,Postnatal,,,PN07,HIV+ breast feeding mothers newly enrolled in MCH groups,kGC9MVJppnk,HllvX50cXC0,HIV+ breast feeding mothers newly enrolled in MCH groups
2.3,Postnatal,,,PN08,Mother-baby pairs enrolled at Mother-Baby care point,bVOnb8GrpHA,HllvX50cXC0,Mother-baby pairs enrolled at Mother-Baby care point - NEG
2.3,Postnatal,,,PN08,Mother-baby pairs enrolled at Mother-Baby care point,bVOnb8GrpHA,HllvX50cXC0,Mother-baby pairs enrolled at Mother-Baby care point - POS
2.3,Postnatal,,,PN09,Male partners received HIV test results in the postnatal setting,FEGgBZlxolM,HllvX50cXC0,Male partners received HIV test results in the postnatal setting
2.3,Postnatal,,,PN09,Male partners received HIV test results in the postnatal setting,KuJuECNX5PL,HllvX50cXC0,Male partners received HIV test results in the postnatal setting
