id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,hmis_code,hmis_name,section_name,section_id
1,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",RIBMopGoWHl,SS01A,SS01,Artemether/Lumefantrine 120/20 mg - Quantity consumed,Essential Medicines,6.1
2,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",pDoc60OZDbH,SS01B,SS01,Artemether/Lumefantrine 120/20 mg - Days out of stock,Essential Medicines,6.1
3,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",fy34HLoHa0x,SS01C,SS01,Artemether/Lumefantrine 120/20 mg - Stock on hand,Essential Medicines,6.1
4,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",Q6ne3khBitH,SS01D,SS01,Artemether/Lumefantrine 120/20 mg - Quantity Expired,Essential Medicines,6.1
5,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",FNT0AWnEok7,SS02A,SS02,Artesunate 60mg - Quantity consumed,Essential Medicines,6.1
6,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",eSjJv1tjFWu,SS02B,SS02,Artesunate 60mg - Days out of stock,Essential Medicines,6.1
7,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",O3hT4aIhzLi,SS02C,SS02,Artesunate 60mg - Stock on hand,Essential Medicines,6.1
8,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",Jdb1lBj4uoP,SS02D,SS02,Artesunate 60mg - Quantity Expired,Essential Medicines,6.1
9,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",LM7oz5Glohw,SS03A,SS03,Long Lasting Insecticidal Nets (LLINs) - Quantity consumed,Essential Medicines,6.1
10,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",So21oM09xKL,SS03B,SS03,Long Lasting Insecticidal Nets (LLINs) - Days out of stock,Essential Medicines,6.1
11,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",eJjn1Av0vHI,SS03C,SS03,Long Lasting Insecticidal Nets (LLINs) - Stock on hand,Essential Medicines,6.1
12,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",f65rrKcnJLg,SS03D,SS03,Long Lasting Insecticidal Nets (LLINs) - Quantity Expired,Essential Medicines,6.1
13,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",RvUzMtiTOnh,SS04A,SS04,Chlorhexidine Digluconate Gel 7.1% (equivalent to 4% chlorhexidine) - Quantity consumed,Essential Medicines,6.1
14,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",pnkTSdn1z9e,SS04B,SS04,Chlorhexidine Digluconate Gel 7.1% (equivalent to 4% chlorhexidine) - Days out of stock,Essential Medicines,6.1
15,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",NH01RQyn58l,SS04C,SS04,Chlorhexidine Digluconate Gel 7.1% (equivalent to 4% chlorhexidine) - Stock on hand,Essential Medicines,6.1
16,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",tgtarB7Bvsx,SS04D,SS04,Chlorhexidine Digluconate Gel 7.1% (equivalent to 4% chlorhexidine) - Quantity Expired,Essential Medicines,6.1
17,VDhwrW9DiC1,HMIS1054,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)",aB6rpIpPXWf,SS05A,SS05,Therapeutic milk F75 (75Kcal/100ml) - Quantity consumed,Essential Medicines,6.1
