id,section_id,section_name,hmis_code,dataelement,hmis_name,dataset_id,dataset_code,dataset_name
1,1.3.1,Epidemic Prone,EP01A,JhvC7ZR9hUe,Suspected Malaria (fever),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
2,1.3.1,Epidemic Prone,EP01B,V6qtHkux6Io,Malaria Tested (B/s & RDT ),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
3,1.3.1,Epidemic Prone,EP01C,wUDxFVBapIc,Malaria confirmed (B/s & RDT),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
4,1.3.1,Epidemic Prone,EP01D,VozjcVb9Fu8,Confirmed Malaria  cases treated,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
5,1.3.1,Epidemic Prone,EP01E,QHnwKs2OUZv,Total malaria cases treated,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
6,1.3.1,Epidemic Prone,EP02,Z6yO7olyecs,Acute Flaccid Paralysis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
7,1.3.1,Epidemic Prone,EP03,Cd993CsXVlM,Animal Bites (suspected rabies),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
8,1.3.1,Epidemic Prone,EP04,Kl7nvNSOvvF,Cholera,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
9,1.3.1,Epidemic Prone,EP05,QgHSEKZAkiI,Dysentery,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
10,1.3.1,Epidemic Prone,EP06,MZnCe1GyUJ3,Guinea Worm,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
11,1.3.1,Epidemic Prone,EP07,MAdd47BztzL,Measles,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
12,1.3.1,Epidemic Prone,EP08,Sqp9021uSu2,Bacterial Meningitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
13,1.3.1,Epidemic Prone,EP09,TDvR6wooe0z,Neonatal tetanus,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
14,1.3.1,Epidemic Prone,EP10,YhGqBI5c7Zt,Plague,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
15,1.3.1,Epidemic Prone,EP11,WHf6QK827ub,Yellow Fever,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
16,1.3.1,Epidemic Prone,EP12,cQFHqwol7ql,Other Viral Haemorrhagic Fevers,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
17,1.3.1,Epidemic Prone,EP13,GMdWrlWwh1w,Severe Acute Respiratory Infection (SARI),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
18,1.3.1,Epidemic Prone,EP14,heRf8NdGtgO,Adverse Events Following Immunization (AEFI),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
19,1.3.1,Epidemic Prone,EP15,r4fQVHDftNs,Typhoid Fever,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
20,1.3.1,Epidemic Prone,EP16,imZQ4a2hYci,Refampicin resistant TB cases,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
21,1.3.1,Epidemic Prone,EP17,B0avY8vCdEW,"Other Emerging infectious Diseases(e.g influenza like illness(ILI), SARS",RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
22,1.3.1,Epidemic Prone,EP18,DH62JAC1Vb5,Covid-19,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
23,1.3.2,Communicable Diseases,CD01,LiSyn6bblsc,Diarrhoea -  Acute,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
24,1.3.2,Communicable Diseases,CD02,Kz1EDWfsQvI,Diarrhoea -  Persistent,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
25,1.3.2,Communicable Diseases,CD03,MIzh6JUSxX9,Urethral discharges,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
26,1.3.2,Communicable Diseases,CD04,MxD5pnf5rVM,Genital ulcers,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
27,1.3.2,Communicable Diseases,CD05,Cw3RNymXWjr,Sexually Transmitted Infection due to Sexual Gender Based Violence,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
28,1.3.2,Communicable Diseases,CD06,KaqDbaq0Yce,Other Sexually Transmitted Infections,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
29,1.3.2,Communicable Diseases,CD07,WIJ0fbjLIJh,Urinary Tract Infections (UTI),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
30,1.3.2,Communicable Diseases,CD08,FPXwKGEV96K,Intestinal Worms,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
31,1.3.2,Communicable Diseases,CD09,lK3JqDK80k7,Haematological Meningitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
32,1.3.2,Communicable Diseases,CD10,TDUjUDLnV9v,Other types of meningitis,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
33,1.3.2,Communicable Diseases,CD11,LR8778hLH8U,Cough or cold  - No Pneumonia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
34,1.3.2,Communicable Diseases,CD12,ywfVj7F30Ts,Pneumonia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
35,1.3.2,Communicable Diseases,CD13,JadBi8s2DMg,Severe Pneumonia,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
36,1.3.2,Communicable Diseases,CD14,y6ofkvr4JP8,Skin Diseases,RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
37,1.3.2,Communicable Diseases,CD15,F4xWVmlaoxi,Tetanus (over 28 days),RtEYsASU7PG,HMIS1051,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
