id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
1,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",KyRHSYKxihH,FP01,Combined Oral Contraceptives Pills (COCs),Family Planning Client Visits,2.4.1,FP01
2,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",dyfJZ2Llr6F,FP02,Progesterone Only Pills (POP),Family Planning Client Visits,2.4.1,FP02
3,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",qSe7OiDB18A,FP03,Emergency Contraceptive Pills (ECP),Family Planning Client Visits,2.4.1,FP03
4,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",ZVKD2XRg6Ab,FP04,Injectable DMPA Intramuscular (3 months),Family Planning Client Visits,2.4.1,FP04
5,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",oAqoPQkEf2z,FP05,Injectable DMPA Subcutaneous (3 months),Family Planning Client Visits,2.4.1,FP05
6,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",fCj5K4Xqy7T,FP06,3-year Implant,Family Planning Client Visits,2.4.1,FP06
7,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",pGndkat5h9s,FP07,5-year Implant,Family Planning Client Visits,2.4.1,FP07
8,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",jSQRBvez5Pq,FP08,IUD Copper-T,Family Planning Client Visits,2.4.1,FP08
9,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",zhTC6HT9No1,FP09,IUD Hormonal,Family Planning Client Visits,2.4.1,FP09
10,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",VHi82Mcd77w,FP10,FAM-SDM(Cycle Beads),Family Planning Client Visits,2.4.1,FP10
11,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",ibfLXaygcNS,FP11,FAM-LAM,Family Planning Client Visits,2.4.1,FP11
12,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",HnSiI2XX2Sy,FP12,FAM Two Days Method,Family Planning Client Visits,2.4.1,FP12
13,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",Onpo1O1A7jr,FP13,Female condoms,Family Planning Client Visits,2.4.1,FP13
14,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",bkCFVYMFMed,FP14,Male condoms,Family Planning Client Visits,2.4.1,FP14
15,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",HPEnpD0uWkV,CT01,Combined Oral Contraceptive Pills (Cycles),Contraceptives Dispensed,2.4.2,CT01
16,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",a2VY34cntG4,CT02,Progesterone only Oral pills (Cycles),Contraceptives Dispensed,2.4.2,CT02
17,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",b2mZpqmL8VB,CT03,Contraceptive Pills (Cycles),Contraceptives Dispensed,2.4.2,CT03
18,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",MRnxUVJpfrB,CT04,Injectable DMPA_Intramuscular (Doses),Contraceptives Dispensed,2.4.2,CT04
19,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",SOUqnrsSlfn,CT05,Injectable DMPA_ Subcutaneous (Doses),Contraceptives Dispensed,2.4.2,CT05
20,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",RhSXgCUwfyL,CT05A,Injectable DMPA Subcutaneous (Doses) Provider Administered (PA),Contraceptives Dispensed,2.4.2,CT05A
21,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",imToa79K9dT,CT05B,Injectable DMPA Subcutaneous (Doses) Self-Injected (SI),Contraceptives Dispensed,2.4.2,CT05B
22,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",fevOSp4U5Tj,CT06,3 year Implant,Contraceptives Dispensed,2.4.2,CT06
