id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
1,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,MX5ze6e9iP2,RA01,Plain radiography (X-ray),X-Ray,5.1.1,RA01
2,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,yLX4o9peOsQ,RA02,CXR (chest x-ray),X-Ray,5.1.1,RA02
3,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,OeGeSyYymj2,RA03,Plain abdomen,X-Ray,5.1.1,RA03
4,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,oetCmJsi1kn,RA04,Spine,X-Ray,5.1.1,RA04
5,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,tF2QBzkj3Pv,RA05,Upper limbs,X-Ray,5.1.1,RA05
6,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,un0XVEV2Fqt,RA06,Lower limbs,X-Ray,5.1.1,RA06
7,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,JXDidYOcYLp,RA07,Skull,X-Ray,5.1.1,RA07
8,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,e1tvZG8X8IW,RA08,Pelvis,X-Ray,5.1.1,RA08
9,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,kBfGeUictzC,FG01,Barium swallow,Fluoroscopy Gastrointestinal tract,5.1.2,FG01
10,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,YXiRy13J8ss,FG02,Barium meal,Fluoroscopy Gastrointestinal tract,5.1.2,FG02
11,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,nfrl00O8GUa,FG03,Barium follow-through,Fluoroscopy Gastrointestinal tract,5.1.2,FG03
12,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,zaHYBIpnntL,FG04,Small bowel enema,Fluoroscopy Gastrointestinal tract,5.1.2,FG04
13,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,QvZxMe5I0xh,FG05,Barium enema,Fluoroscopy Gastrointestinal tract,5.1.2,FG05
14,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,PIySVhx6DJS,FG06,The 'instant' enema,Fluoroscopy Gastrointestinal tract,5.1.2,FG06
15,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,uLEwmtgKXMi,FG07,Sonogram/ Fistulogram,Fluoroscopy Gastrointestinal tract,5.1.2,FG07
16,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ftI4unKDI8y,FG08,Loopogram/ Colostogram,Fluoroscopy Gastrointestinal tract,5.1.2,FG08
17,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,bRhyUH8NBNb,FG09,"Others specify; Balloon dialatation of Oesophageal strictures, Intussusception reduction",Fluoroscopy Gastrointestinal tract,5.1.2,FG09
18,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,HKY8BpjpV5k,WS01,Pre-operative cholangiography,Water soluble contrast examination,5.1.3,WS01
19,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,jqpTQUwkCNQ,WS02,Postoperative (T-tube) cholangiography,Water soluble contrast examination,5.1.3,WS02
20,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,tUj0laRvwHM,WS03,Percutaneous extraction of retained biliary calculi,Water soluble contrast examination,5.1.3,WS03
21,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,jo4anAK0YTh,WS04,Endoscopic retrograde cholangio pancreatography (ERCP),Water soluble contrast examination,5.1.3,WS04
22,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,R39MIoKivhS,WS05,Percutaneous transhepatic cholangiography (PTCH),Water soluble contrast examination,5.1.3,WS05
23,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Dmwjae6G7Il,TR01,Excretion urography,Urinary tract,5.1.4,TR01
24,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,AlGU4azoEQ6,TR02,Percutaneous renal puncture,Urinary tract,5.1.4,TR02
25,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,daUTHW3uNC1,TR03,Percutaneous nephrostomy,Urinary tract,5.1.4,TR03
26,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,DPdFnwVaO51,TR04,Percutaneous nephrolithotomy,Urinary tract,5.1.4,TR04
27,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,SgTjL8hJ1uS,TR05,Retrograde pyeloureterography,Urinary tract,5.1.4,TR05
28,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,E8rU6SWAcIB,MC01,Reproductive system,Micturating cystourethrography,5.1.5,MC01
29,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,WBzy5Tcl3gQ,MC02,Hysterosalpingography,Micturating cystourethrography,5.1.5,MC02
30,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,JYcSrtHDFbf,MC03,Sialography,Micturating cystourethrography,5.1.5,MC03
31,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ZavQSFEftEi,MC04,Fistulography,Micturating cystourethrography,5.1.5,MC04
32,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ZP2lc5ILV2U,CT01,Brain,Computed tomography,5.1.6,CT01
33,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Mkk2BejAlg8,CT02,Orbits /paranasal sinuses,Computed tomography,5.1.6,CT02
34,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,IRQHM1CBkp4,CT03,Neck,Computed tomography,5.1.6,CT03
