dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,hmis_code
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),nAPg66rGeOq,VS09C,DST for Multi Drug Resistance TB (MDR TB) - Pending Results/Feedback,VS09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),QJpefO3BuLI,BT01A,AHG - Done,BT01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),cxhuYzdHB5s,BT01B,AHG - Positive,BT01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ozre5Ynz0z6,BT02,ABO Grouping - Done,BT02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),PSR0ZkLuXZc,BT03,Rhesus Grouping - Done,BT03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),asWZcgcckzZ,BT04,Cross Matching - Done,BT04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),oWp3y7CArEU,BT05A,Auto immune antibodies - Number Done,BT05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Wtl3AK0zl7K,BT05B,Auto immune antibodies - Number Positive,BT05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),C6bn6zPbQCz,CS01,Blood - Done,CS01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Z6fz0YSRNWq,CS02,Urine - Done,CS02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Z74IqKrAu2R,CS03,Stool - Done,CS03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),eUm4aLsUREy,CS04,Urogenital Swabs - Done,CS04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),tKa9eCTAuTa,CS05,Sputum - Done,CS05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Y311j0z9uy7,CS06 ,CSF - Done,CS06 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),P8wR4WH0xvv,CS07 ,Pus/wound swabs - Done,CS07 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),BhJKRTRxKeA,CS08 ,Other swabs - Done,CS08 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),F9yAAAMOFIW,CS09 ,Others - Done,CS09 
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),XgjY88WyEvw,CX01,Alkaline Phosphate - Done,CX01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),i83XCw9TZoy,CX02,Amylase - Done,CX02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hvSAoW7JMVT,CX03,Glucose - Done,CX03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),WWPOwDdMfqS,CX04,Total Bilirubin - Done,CX04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),tqarc2TinGp,CX05,Lipase - Done,CX05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),RLVHiuIIcsi,CX06,AFPCX,CX06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),h6VEWpbIw5j,CX07,LDH - Done,CX07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),R1i21ipKUvI,CX08,Lactate - Done,CX08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YJS6tdhuN61,CX09,Uric Acid - Done,CX09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),DORqImfxgss,CX10,CRP - Done,CX10
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),U0HoNLueK9m,CX11,Others - Done,CX11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),ZYwSMDa5lRO,HE01,Hb (non automated) - Done,HE01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uy82zDUjjCl,HE02,Film Comment,HE02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EHyI7eYeoH1,HE03,CBC ,HE03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),a59ozSxc5Nf,HE04,Reticulocyte count,HE04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),NfIVbWjrJgg,HE05,ESR - Done,HE05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),fSqxW8rnjPJ,HE06,Bleeding time - Done,HE06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),CXW0ReX8CGY,HE07,Prothrombin time - Done,HE07
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),hERmSDObVoo,HE08,Clotting time - Done,HE08
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Ad83DJKiDcq,HE09A,PT/INR-Done,HE09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dgS5bQLXlnl,HE09B,PT/INR-Positive,HE09
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),yZo1ZXzFVTx,HE10A,APTT Number Done,HE10
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),gMKw8wWc6IH,HE10B,APTT-Positive,HE10
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LpM6ADG2duN,HE11A,Sickle Cell - Done,HE11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),zMcPisBKSZM,HE11B,Sickle Cell - Positive,HE11
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),FvpSeAddsKQ,HE12A,Others - Done,HE12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),TjA2XpEWM5B,HE12B,Others - Positive,HE12
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),qPPkRwNbQLK,HP01,Determine,HP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),gt4nnXmktFt,HP01A,Determine - Inconclusive Results,HP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),WFWo6gd8q84,HP01B,Determine - Repeat Testers,HP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),xSWi87nPvsg,HP01C,Determine - DNA Confirmed Tests,HP01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),dmlmELeuSyP,HP02,Statpak,HP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),vUni7HncD5H,HP02A,Statpak - Inconclusive Results,HP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),R6Hab5TGlDx,HP02B,Statpak - Repeat Testers,HP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),rKVy7AdYoFB,HP02C,Statpak - DNA Confirmed Tests,HP02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),SaePW1w1INK,HP03,SD Bioline,HP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),yCFhLSgtm2V,HP03A,SD Bioline - Inconclusive Results,HP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),YBf6aiFlFzr,HP03B,SD Bioline - Repeat Testers ,HP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),A3tyalJbIgS,HP03C,SD Bioline - DNA Confirmed Tests,HP03
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),FKsdBDFpAuu,HP04,HIV Syphilis DUO,HP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),fhApW96IgLz,HP04A,HIV Syphilis DUO - Inconclusive Results,HP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),jkLKbugzh9s,HP04B,HIV Syphilis DUO - Repeat Testers,HP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Qi7G1rpttno,HP04C,HIV Syphilis DUO - DNA Confirmed Tests,HP04
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),RLuOjNZaq0k,HP05,Oraquick (Self Testing),HP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),Ts4EfBkJa8V,HP05A,Oraquick (Self Testing) - Inconclusive Results,HP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),LV7Qudb9E7J,HP05B,Oraquick (Self Testing) - Repeat Testers,HP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),qQ7RtdPhGcU,HP05C,Oraquick (Self Testing) - DNA Confirmed Tests,HP05
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),EgvsCowqr2w,HP06,HIV Recency Testing,HP06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),JXhZmNPaNKV,HP06A,HIV Recency Testing - Inconclusive Results,HP06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),tpHKA3yqaIl,HP06B,HIV Recency Testing - Repeat Testers,HP06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),MNnG5aukNOu,HP06C,HIV Recency Testing - DNA Confirmed Tests,HP06
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),uPzFvnylwxF,IG01,CD4 test - Done,IG01
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),V3pwu7dz5bE,IG02A,TB LAM - Done,IG02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),k7ut0wuDciZ,IG02B,TB LAM - Number Positive,IG02
quMWqLxzcfO,HMIS1055,HMIS 105:10 - OPD Monthly Report (Lab),d9f2PISTS6A,IG03A,CRP - Number Done,IG03
