id,section_id,section_name,hmis_code,dataelement,hmis_name,dataset_id,dataset_code,dataset_name
1,2.1,Antenatal,AN01A,Q9nSogNmKPt,ANC 1st Visit for women,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
2,2.1,Antenatal,AN01b,uUYRrEU5iOB,ANC 1st contacts/ visits for women - No. in 1st Trimester,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
3,2.1,Antenatal,AN02,RnLOFSYaAhp,ANC 4th Visit for women,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
4,2.1,Antenatal,AN03,xzZZOy6cmr8,ANC 8 contacts/ visits for Women,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
5,2.1,Antenatal,AN04,PaceRdSpmgy,Total ANC contacts/visits,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
6,2.1,Antenatal,AN05,YSqKuHTabCd,Referrals to ANC unit,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
7,2.1,Antenatal,AN06A,emMkPnimvFJ,No. of pregnant women who IPT1,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
8,2.1,Antenatal,AN06B,S1wIc5GXHZK,No. of pregnant women who received IPT2,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
9,2.1,Antenatal,AN06C,DuMMAbvDfjn,No. of pregnant women who received IPT3,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
10,2.1,Antenatal,AN06D,ttzUyLDgHSp,No. of pregnant women who received IPT 4 & 4+ Dose,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
11,2.1,Antenatal,AN07A1,pINrjRslNhJ,Blood and Rhesus Group (O) - Rhesus(O+),ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
12,2.1,Antenatal,AN07A2,JEguqgKb8EF,No. of pregnant women who were tested for blood grouping - Blood Group (O) -Rhesus O- ,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
13,2.1,Antenatal,AN07B1,hqGqG3XbnJm,Blood and Rhesus Group (A) - Rhesus(A+),ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
14,2.1,Antenatal,AN07B2,FozqVr5QFG2,No. of pregnant women who were tested for blood grouping - Blood Group (A) -Rhesus A-,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
15,2.1,Antenatal,AN07C1,mSpP96joalJ,Blood and Rhesus Group (B) - Rhesus(B+),ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
16,2.1,Antenatal,AN07C2,t6bnhabqp9j,No. of pregnant women who were tested for blood grouping - Blood Group (B) -Rhesus B-,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
17,2.1,Antenatal,AN07D1,zqCLVFtdnsF,Blood and Rhesus Group (AB) - Rhesus(AB+),ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
18,2.1,Antenatal,AN07d2,BSw2fU4pgcR, No. of pregnant women who were tested for blood grouping - Blood Group (AB) Rhesus AB-,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
19,2.1,Antenatal,AN08,Y94ON8bFTQ8,No. of pregnant women who were tested for Anaemia using Hb Test at ANC 1st Contact / visit,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
