id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_id,hmis_code
1,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,sDLD6q8wOCn,SP01,Caesarean sections,obstetrics,3.1.1,SP01
2,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,bXGtRI5c0lC,SP02,"Obstetric fistula repair (RVF, VVF, RVVF)",obstetrics,3.1.1,SP02
3,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,MkpBT2vT5Ea,SP03,Evacuations (incomplete abortion),obstetrics,3.1.1,SP03
4,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,IYWgEa8BVrm,SP04,Other Obstetric Surgery,obstetrics,3.1.1,SP04
5,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Wr9KVsGQLd4,GN01,Laparotomy for ovarian surgery,Gynaecology,3.1.2,GN01
6,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,lR9X9RCGwNx,GN02,Abdominal hysterectomy,Gynaecology,3.1.2,GN02
7,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ucpSiMvW6WA,GN03,Vaginal hysterectomy,Gynaecology,3.1.2,GN03
8,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Ai45siHVs0U,GN04,Myomectomy,Gynaecology,3.1.2,GN04
9,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,rrCNknVDR4M,GN05,Laparotomy for ectopic pregnancy,Gynaecology,3.1.2,GN05
10,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,wSEiwbzS12h,GN06,Other gynaecological surgery,Gynaecology,3.1.2,GN06
11,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,vNHfWrPtBdh,PR01,Skin grafting,Plastic Surgery,3.1.3,PR01
12,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,WOIQPJ0Q4ch,PR02,Release of contractures (burns),Plastic Surgery,3.1.3,PR02
13,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,vdt4YnvpmUd,PR03,Cleft lip and palate surgery,Plastic Surgery,3.1.3,PR03
14,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ohXcG1L3DqI,PR04,Burns management,Plastic Surgery,3.1.3,PR04
