id,dataset_id,dataset_code,dataset_name,dataelement_id,dataelement_code,dataelement_name,section_name,section_code,hmis_code
1,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",vI52cxgsBNv,CH01,Vit A supplement (1st Dose),Child Health Services,2.6,CH01
2,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",A2ZOozUNmDz,CH02,Vit A supplement (2nd Dose),Child Health Services,2.6,CH02
3,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",UvXn8H6o487,CH03,Deworming (1st Dose),Child Health Services,2.6,CH03
4,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",KAQG7cbFHFA,CH04,Deworming (2nd Dose),Child Health Services,2.6,CH04
5,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",XBzzfu55Xh6,CH05,Deworming in school (1st Dose),Child Health Services,2.6,CH05
6,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",mYSOfPa97Ej,CH06,Deworming in schools (2nd Dose),Child Health Services,2.6,CH06
7,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",Gtk7tbHfVfj,VP01,HPV-Dose ,HPV Vaccination,2.6.1,VP01
8,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",oj4ttY118Fg,TD01,Td1-Dose 1,Tetanus Vaccination,2.6.2,TD01
9,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",OrKSwpDxQaJ,TD02,Td2-Dose 2,Tetanus Vaccination,2.6.2,TD02
10,ic1BSWhGOso,HMIS1052,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)",vMZQxa2plDI,TD03,Td3-Dose 3,Tetanus Vaccination,2.6.2,TD03
