"id","dataelement","categoryoptioncombo"
1,FlRxDBHWGid,zh2zAaHyYQx
2,FlRxDBHWGid,wDiX34aiw6i
3,FlRxDBHWGid,V2OuNTRI6ua
4,FlRxDBHWGid,huBy3W5qiD2
5,FlRxDBHWGid,F1rms8f9I9a
6,FlRxDBHWGid,Crc5reUlspd
7,FlRxDBHWGid,c7gvocRdg0f
8,FlRxDBHWGid,u3CkZqMHfHP
9,FlRxDBHWGid,dCKzhhINakS
10,FlRxDBHWGid,XVHTeecEOM3
11,liAAi8rBTCq,zh2zAaHyYQx
12,liAAi8rBTCq,wDiX34aiw6i
13,liAAi8rBTCq,V2OuNTRI6ua
14,liAAi8rBTCq,huBy3W5qiD2
15,liAAi8rBTCq,F1rms8f9I9a
16,liAAi8rBTCq,Crc5reUlspd
17,liAAi8rBTCq,c7gvocRdg0f
18,liAAi8rBTCq,u3CkZqMHfHP
19,liAAi8rBTCq,dCKzhhINakS
20,liAAi8rBTCq,XVHTeecEOM3
21,XSSf5XNwMAM,zh2zAaHyYQx
22,XSSf5XNwMAM,wDiX34aiw6i
23,XSSf5XNwMAM,V2OuNTRI6ua
24,XSSf5XNwMAM,huBy3W5qiD2
25,XSSf5XNwMAM,F1rms8f9I9a
26,XSSf5XNwMAM,Crc5reUlspd
27,XSSf5XNwMAM,c7gvocRdg0f
28,XSSf5XNwMAM,u3CkZqMHfHP
29,XSSf5XNwMAM,dCKzhhINakS
30,XSSf5XNwMAM,XVHTeecEOM3
31,bWKt8wPieZ9,zh2zAaHyYQx
32,bWKt8wPieZ9,wDiX34aiw6i
33,bWKt8wPieZ9,V2OuNTRI6ua
34,bWKt8wPieZ9,huBy3W5qiD2
35,bWKt8wPieZ9,F1rms8f9I9a
36,bWKt8wPieZ9,Crc5reUlspd
37,bWKt8wPieZ9,c7gvocRdg0f
38,bWKt8wPieZ9,u3CkZqMHfHP
39,bWKt8wPieZ9,dCKzhhINakS
40,bWKt8wPieZ9,XVHTeecEOM3
41,mKI86reDKfe,WalQ4zu7RLz
42,mKI86reDKfe,r01f3QfmLJS
43,mKI86reDKfe,bmT820wlIV5
44,mKI86reDKfe,vrSTfWaEZfP
45,mKI86reDKfe,RKbp3GCvRrF
46,mKI86reDKfe,I28asEo67Mt
47,YklCFloHRjd,fbr68sqTEKR
48,YklCFloHRjd,yWIozWpVGde
49,YklCFloHRjd,eObZc3y09Bh
50,YklCFloHRjd,ml6TgIWWdH3
51,YklCFloHRjd,vGnxttOzglN
52,YklCFloHRjd,BSvMtDCiZAJ
53,YklCFloHRjd,rC7np2aSgzQ
54,YklCFloHRjd,btAQJ4dvcuc
55,YklCFloHRjd,ATVgV0shmyv
56,YklCFloHRjd,iz3jhBFrFop
57,YklCFloHRjd,YJbmxtwZ2Dp
58,YklCFloHRjd,AnF164KvhgZ
59,YklCFloHRjd,tJ9I0GJyrsJ
60,YklCFloHRjd,WqJhXlm3j9S
61,YklCFloHRjd,UOY7hA2xpUA
62,YklCFloHRjd,GMBwC7m2Tea
63,YklCFloHRjd,wmdKsYtMiVy
64,YklCFloHRjd,AW05HSHAq0i
65,YklCFloHRjd,lLNRDZPsnOs
66,YklCFloHRjd,ZTykIzgbe7T
67,oCig5lw6NFd,HllvX50cXC0
68,kD2mEeYrgzr,SgtJVRGlRIo
69,kD2mEeYrgzr,nusEBjg8bes
70,kD2mEeYrgzr,sHKK94BX2Rp
71,kD2mEeYrgzr,kkV0Rfqo4Ru
72,kD2mEeYrgzr,UKCxMVgAc2s
73,kD2mEeYrgzr,WyNau0T37h4
74,kD2mEeYrgzr,OhmzAkCmkjU
75,kD2mEeYrgzr,oIxEDq59GUL
76,kD2mEeYrgzr,DHWRwZkFHqc
77,kD2mEeYrgzr,mJNtXTVt6T1
78,EhwUaA1SHiU,zh2zAaHyYQx
79,EhwUaA1SHiU,wDiX34aiw6i
80,EhwUaA1SHiU,V2OuNTRI6ua
81,EhwUaA1SHiU,huBy3W5qiD2
82,EhwUaA1SHiU,F1rms8f9I9a
83,EhwUaA1SHiU,Crc5reUlspd
84,EhwUaA1SHiU,c7gvocRdg0f
85,EhwUaA1SHiU,u3CkZqMHfHP
86,EhwUaA1SHiU,dCKzhhINakS
87,EhwUaA1SHiU,XVHTeecEOM3
88,gvdCqFYHQZy,zh2zAaHyYQx
89,gvdCqFYHQZy,wDiX34aiw6i
90,gvdCqFYHQZy,V2OuNTRI6ua
91,gvdCqFYHQZy,huBy3W5qiD2
92,gvdCqFYHQZy,F1rms8f9I9a
93,gvdCqFYHQZy,Crc5reUlspd
94,gvdCqFYHQZy,c7gvocRdg0f
95,gvdCqFYHQZy,u3CkZqMHfHP
96,gvdCqFYHQZy,dCKzhhINakS
97,gvdCqFYHQZy,XVHTeecEOM3
98,Nk4mdKDEFar,yabsZCXTQRM
99,Nk4mdKDEFar,yWdrn6SiVZ9
100,Nk4mdKDEFar,zLX9lB6eIHI
101,Nk4mdKDEFar,C9j1R3XeUB3
102,Nk4mdKDEFar,sBvVzuUN7ty
103,Nk4mdKDEFar,JqdVRiI92bd
104,Nk4mdKDEFar,tD3pn44uScE
105,Nk4mdKDEFar,Mv9SNsGCT5e
106,Nk4mdKDEFar,rU0HnmI7P8S
107,Nk4mdKDEFar,pfXBcPz6khi
108,Kz1EDWfsQvI,zh2zAaHyYQx
109,Kz1EDWfsQvI,wDiX34aiw6i
110,Kz1EDWfsQvI,V2OuNTRI6ua
111,Kz1EDWfsQvI,huBy3W5qiD2
112,Kz1EDWfsQvI,F1rms8f9I9a
113,Kz1EDWfsQvI,Crc5reUlspd
114,Kz1EDWfsQvI,c7gvocRdg0f
115,Kz1EDWfsQvI,u3CkZqMHfHP
116,Kz1EDWfsQvI,dCKzhhINakS
117,Kz1EDWfsQvI,XVHTeecEOM3
118,n70bdRjQRgx,TfZvUi36x3E
119,n70bdRjQRgx,vljv8U8YSeI
120,n70bdRjQRgx,X9hXliD051v
121,n70bdRjQRgx,ylbw1HJrKHS
122,n70bdRjQRgx,CzqywsnGzCt
123,n70bdRjQRgx,nSxUK4RG8F5
124,n70bdRjQRgx,kiUTrpAv4xi
125,n70bdRjQRgx,ESvFJsCsLAM
126,JiZnvlVM99d,SM9d5ybWcr0
127,JiZnvlVM99d,H5MiomGgbbi
128,JiZnvlVM99d,OUPWAOZojRb
129,YzcV7QwkV0A,zh2zAaHyYQx
130,YzcV7QwkV0A,wDiX34aiw6i
131,YzcV7QwkV0A,V2OuNTRI6ua
132,YzcV7QwkV0A,huBy3W5qiD2
133,YzcV7QwkV0A,F1rms8f9I9a
134,YzcV7QwkV0A,Crc5reUlspd
135,YzcV7QwkV0A,c7gvocRdg0f
136,YzcV7QwkV0A,u3CkZqMHfHP
137,YzcV7QwkV0A,dCKzhhINakS
138,YzcV7QwkV0A,XVHTeecEOM3
139,Ob79Zy3kbRf,WalQ4zu7RLz
140,Ob79Zy3kbRf,r01f3QfmLJS
141,Ob79Zy3kbRf,bmT820wlIV5
142,Ob79Zy3kbRf,vrSTfWaEZfP
143,Ob79Zy3kbRf,RKbp3GCvRrF
144,Ob79Zy3kbRf,I28asEo67Mt
145,gHhyWoPMWS8,pvlQCJPgNBf
146,gHhyWoPMWS8,slbcw6naLWL
147,gHhyWoPMWS8,TBB5Bs0EJPq
148,gHhyWoPMWS8,RxuzjTrDPzp
149,gHhyWoPMWS8,cunGU4fGzfD
150,gHhyWoPMWS8,zS2FhRuKp1b
151,gHhyWoPMWS8,rEAkXQROSUS
152,gHhyWoPMWS8,Up5qCxYh4pN
153,gHhyWoPMWS8,A4exOip3pCg
154,gHhyWoPMWS8,QUzLjdveSOz
155,gHhyWoPMWS8,iTdW73TXhq2
156,gHhyWoPMWS8,dNlKeKmJDy0
157,Cu0nRLA8g8H,SM9d5ybWcr0
158,Cu0nRLA8g8H,H5MiomGgbbi
159,Cu0nRLA8g8H,OUPWAOZojRb
160,VsTu0MTG34p,zh2zAaHyYQx
161,VsTu0MTG34p,wDiX34aiw6i
162,VsTu0MTG34p,V2OuNTRI6ua
163,VsTu0MTG34p,huBy3W5qiD2
164,VsTu0MTG34p,F1rms8f9I9a
165,VsTu0MTG34p,Crc5reUlspd
166,VsTu0MTG34p,c7gvocRdg0f
167,VsTu0MTG34p,u3CkZqMHfHP
168,VsTu0MTG34p,dCKzhhINakS
169,VsTu0MTG34p,XVHTeecEOM3
170,LYvYpOkbyQE,zh2zAaHyYQx
171,LYvYpOkbyQE,wDiX34aiw6i
172,LYvYpOkbyQE,V2OuNTRI6ua
173,LYvYpOkbyQE,huBy3W5qiD2
174,LYvYpOkbyQE,F1rms8f9I9a
175,LYvYpOkbyQE,Crc5reUlspd
176,LYvYpOkbyQE,c7gvocRdg0f
177,LYvYpOkbyQE,u3CkZqMHfHP
178,LYvYpOkbyQE,dCKzhhINakS
179,LYvYpOkbyQE,XVHTeecEOM3
180,urup7lP3i2I,zh2zAaHyYQx
181,urup7lP3i2I,wDiX34aiw6i
182,urup7lP3i2I,V2OuNTRI6ua
183,urup7lP3i2I,huBy3W5qiD2
184,urup7lP3i2I,F1rms8f9I9a
185,urup7lP3i2I,Crc5reUlspd
186,urup7lP3i2I,c7gvocRdg0f
187,urup7lP3i2I,u3CkZqMHfHP
188,urup7lP3i2I,dCKzhhINakS
189,urup7lP3i2I,XVHTeecEOM3
190,BZh4mVCAnRo,zh2zAaHyYQx
191,BZh4mVCAnRo,wDiX34aiw6i
192,BZh4mVCAnRo,V2OuNTRI6ua
193,BZh4mVCAnRo,huBy3W5qiD2
194,BZh4mVCAnRo,F1rms8f9I9a
195,BZh4mVCAnRo,Crc5reUlspd
196,BZh4mVCAnRo,c7gvocRdg0f
197,BZh4mVCAnRo,u3CkZqMHfHP
198,BZh4mVCAnRo,dCKzhhINakS
199,BZh4mVCAnRo,XVHTeecEOM3
200,z8zOu5NSR9Q,SgtJVRGlRIo
201,z8zOu5NSR9Q,nusEBjg8bes
202,z8zOu5NSR9Q,sHKK94BX2Rp
203,z8zOu5NSR9Q,kkV0Rfqo4Ru
204,z8zOu5NSR9Q,UKCxMVgAc2s
205,z8zOu5NSR9Q,WyNau0T37h4
206,z8zOu5NSR9Q,OhmzAkCmkjU
207,z8zOu5NSR9Q,oIxEDq59GUL
208,z8zOu5NSR9Q,DHWRwZkFHqc
209,z8zOu5NSR9Q,mJNtXTVt6T1
210,JHOU1uXweoP,zh2zAaHyYQx
211,JHOU1uXweoP,wDiX34aiw6i
212,JHOU1uXweoP,V2OuNTRI6ua
213,JHOU1uXweoP,huBy3W5qiD2
214,JHOU1uXweoP,F1rms8f9I9a
215,JHOU1uXweoP,Crc5reUlspd
216,JHOU1uXweoP,c7gvocRdg0f
217,JHOU1uXweoP,u3CkZqMHfHP
218,JHOU1uXweoP,dCKzhhINakS
219,JHOU1uXweoP,XVHTeecEOM3
220,Fg238FCRDff,zh2zAaHyYQx
221,Fg238FCRDff,wDiX34aiw6i
222,Fg238FCRDff,V2OuNTRI6ua
223,Fg238FCRDff,huBy3W5qiD2
224,Fg238FCRDff,F1rms8f9I9a
225,Fg238FCRDff,Crc5reUlspd
226,Fg238FCRDff,c7gvocRdg0f
227,Fg238FCRDff,u3CkZqMHfHP
228,Fg238FCRDff,dCKzhhINakS
229,Fg238FCRDff,XVHTeecEOM3
230,Uo3DcCS7GQJ,zh2zAaHyYQx
231,Uo3DcCS7GQJ,wDiX34aiw6i
232,Uo3DcCS7GQJ,V2OuNTRI6ua
233,Uo3DcCS7GQJ,huBy3W5qiD2
