"id","dataset_code","dataset_name","dataset_id","dataelement","dataelement_code","dataelement_name","optioncombo_code","optioncombo_name"
3397,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,rsV4LLJt5Lw,"65+Yrs, Female, Known"
3385,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,VyCuYZXDXiO,"15-17 Yrs, Female, Known"
3389,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,A2ZsKFXp6Vn,"18-39 Yrs, Female, Known"
3386,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,Zacetp7r5HC,"18-39 Yrs, Male, New"
3387,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,a9NFxaXN9KD,"18-39 Yrs, Male, Known"
3388,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,sBkrGKNQ0uz,"18-39 Yrs, Female, New"
3379,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,Ve34gUv8xMH,"0-14Yrs, Male, Known"
3380,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,OE9AdLE48yj,"0-14Yrs, Female, New"
3381,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,NFNV30tIn8T,"0-14Yrs, Female, Known"
3382,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,AmyeUte6IfQ,"15-17 Yrs, Male, New"
3383,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,KLjBWPSSfqG,"15-17 Yrs, Male, Known"
3384,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,QwmgfRLXySv,"15-17 Yrs, Female, New"
3378,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,d0tWwN5O6NO,"0-14Yrs, Male, New"
3390,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,eDQHbmqfA0E,"40-64 Yrs, Male, New"
3391,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,lvYG6LfU4Jo,"40-64 Yrs, Male, Known"
3392,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,Z2df6EDsYk1,"40-64 Yrs, Female, New"
3393,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,rkbc2xbaa8g,"40-64 Yrs, Female, Known"
3394,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,dBzKnHTWCkK,"65+Yrs, Male, New"
3395,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,GMPyv2RPvxm,"65+Yrs, Male, Known"
3396,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,L6wdIbx613d,CA13a,CA13a. Oesophageal Cancer - Cases,gp5AoqZCBjE,"65+Yrs, Female, New"
2626,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,KLjBWPSSfqG,"15-17 Yrs, Male, Known"
2625,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,AmyeUte6IfQ,"15-17 Yrs, Male, New"
2624,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,NFNV30tIn8T,"0-14Yrs, Female, Known"
2623,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,OE9AdLE48yj,"0-14Yrs, Female, New"
2622,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,Ve34gUv8xMH,"0-14Yrs, Male, Known"
2621,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,d0tWwN5O6NO,"0-14Yrs, Male, New"
2640,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,rsV4LLJt5Lw,"65+Yrs, Female, Known"
2639,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,gp5AoqZCBjE,"65+Yrs, Female, New"
2638,HMIS108,HMIS 108 - IPD Monthly Report,EBqVAQRmiPm,KuTXtcHhm6r,CA13B,CA13b. Oesophageal Cancer - Deaths,GMPyv2RPvxm,"65+Yrs, Male, Known"
