id,eafya_id,eafya_name,dataelement,hmis_code,hmis_name,section_name,section_id
1,,,MX5ze6e9iP2,RA01,RA01. Plain radiography (X-ray),x-ray,5.1
2,,,yLX4o9peOsQ,RA02,RA02. CXR (chest x-ray),x-ray,5.1
3,,,OeGeSyYymj2,RA03,RA03. Plain abdomen,x-ray,5.1
4,,,oetCmJsi1kn,RA04,RA04. Spine,x-ray,5.1
5,,,tF2QBzkj3Pv,RA05,RA05. Upper limbs,x-ray,5.1
6,,,un0XVEV2Fqt,RA06,RA06. Lower limbs,x-ray,5.1
7,,,JXDidYOcYLp,RA07,RA07. Skull,x-ray,5.1
8,,,e1tvZG8X8IW,RA08,RA08. Pelvis,x-ray,5.1
9,,,kBfGeUictzC,FG01,FG01. Barium swallow,Fluoroscopy Gastrointestinal tract,5.2
10,,,YXiRy13J8ss,FG02,FG02. Barium meal,Fluoroscopy Gastrointestinal tract,5.2
11,,,nfrl00O8GUa,FG03,FG03. Barium follow-through,Fluoroscopy Gastrointestinal tract,5.2
12,,,zaHYBIpnntL,FG04,FG04. Small bowel enema,Fluoroscopy Gastrointestinal tract,5.2
13,,,QvZxMe5I0xh,FG05,FG05. Barium enema,Fluoroscopy Gastrointestinal tract,5.2
14,,,PIySVhx6DJS,FG06,FG06. The 'instant' enema,Fluoroscopy Gastrointestinal tract,5.2
15,,,uLEwmtgKXMi,FG07,FG07. Sonogram/ Fistulogram,Fluoroscopy Gastrointestinal tract,5.2
16,,,ftI4unKDI8y,FG08,FG08. Loopogram/ Colostogram,Fluoroscopy Gastrointestinal tract,5.2
17,,,bRhyUH8NBNb,FG09,"FG09. Others specify; Balloon dialatation of Oesophageal strictures, Intussusception reduction",Fluoroscopy Gastrointestinal tract,5.2
18,,,HKY8BpjpV5k,WS01,WS01. Pre-operative cholangiography,Water soluble contrast examination,5.3
19,,,jqpTQUwkCNQ,WS02,WS02. Postoperative (T-tube) cholangiography,Water soluble contrast examination,5.3
20,,,tUj0laRvwHM,WS03,WS03. Percutaneous extraction of retained biliary calculi,Water soluble contrast examination,5.3
21,,,jo4anAK0YTh,WS04,WS04. Endoscopic retrograde cholangio pancreatography (ERCP),Water soluble contrast examination,5.3
22,,,R39MIoKivhS,WS05,WS05. Percutaneous transhepatic cholangiography (PTCH),Water soluble contrast examination,5.3
23,,,Dmwjae6G7Il,TR01,TR01. Excretion urography,Urinary tract,5.4
24,,,AlGU4azoEQ6,TR02,TR02. Percutaneous renal puncture,Urinary tract,5.4
25,,,daUTHW3uNC1,TR03,TR03. Percutaneous nephrostomy,Urinary tract,5.4
26,,,DPdFnwVaO51,TR04,TR04. Percutaneous nephrolithotomy,Urinary tract,5.4
27,,,SgTjL8hJ1uS,TR05,TR05. Retrograde pyeloureterography,Urinary tract,5.4
28,,,E8rU6SWAcIB,MC01,MC01. Reproductive system,Micturating cystourethrography,5.5
29,,,WBzy5Tcl3gQ,MC02,MC02. Hysterosalpingography,Micturating cystourethrography,5.5
30,,,JYcSrtHDFbf,MC03,MC03. Sialography,Micturating cystourethrography,5.5
31,,,ZavQSFEftEi,MC04,MC04. Fistulography,Micturating cystourethrography,5.5
32,,,ZP2lc5ILV2U,CT01,CT01. Brain,Computed tomography,5.6
33,,,Mkk2BejAlg8,CT02,CT02. Orbits /paranasal sinuses,Computed tomography,5.6
34,,,IRQHM1CBkp4,CT03,CT03. Neck,Computed tomography,5.6
35,,,krBQ4OPkGHt,CT04,CT04. Chest,Computed tomography,5.6
36,,,eOzvaIUGILC,CT05,CT05. Abdomen and pelvis,Computed tomography,5.6
37,,,X5stldnhNtf,CT06,CT06. Spine,Computed tomography,5.6
38,,,Rp34ZFo33hs,CT07,CT07. Limbs,Computed tomography,5.6
39,,,rV2c6U1HPuK,CT08,CT08. Angiography,Computed tomography,5.6
40,,,LFFHoPWVivy,MA01,MA01. Diagnostic,Mammography,5.7
41,,,jJ5h2IlSZ01,MA02,MA02. Screening,Mammography,5.7
42,,,I0gnbdMZnJ8,MA03,MA03. Galactography,Mammography,5.7
43,,,WHNUWBXbXoD,MR01,MR01. Brain,Magnetic Resonance Imaging (MRI),5.8
44,,,Ywkn1hJ0neb,MR02,MR02. Spine,Magnetic Resonance Imaging (MRI),5.8
45,,,xfdupdekZgg,MR03,MR03. Abdomen,Magnetic Resonance Imaging (MRI),5.8
46,,,l74Up3OSZaB,MR04,MR04. Angiography,Magnetic Resonance Imaging (MRI),5.8
47,,,HRLdjyBvu7M,MR05,MR05. Musculoskeletal,Magnetic Resonance Imaging (MRI),5.8
48,,,FfxcPHmgIWS,UL01,UL01. Abdomen and pelvis,Ultrasound,5.9
49,,,dkyYj6FBGIV,UL02,UL02. Obstetrics,Ultrasound,5.9
50,,,wCHJqtGX4rE,UL03,UL03. Gynecology,Ultrasound,5.9
51,,,dTSlsl0LHkf,UL04,UL04. Small parts,Ultrasound,5.9
52,,,le6WxMHZpu0,UL05,UL05. Musculoskeletal,Ultrasound,5.9
53,,,RArmWwpOZKC,UL06,UL06. Cranial,Ultrasound,5.9
54,,,v0hfRlfkriq,UL07,"UL07. Endocavitary ultrasound (transvaginal, transrectal, transesophageal )",Ultrasound,5.9
