id,eafya_id,eafya_name,dataelement,hmis_code,hmis_name,section_name,section_id
1,,,sDLD6q8wOCn,SP01,SP01. Caesarean sections,Obstetrics,3.1
2,,,bXGtRI5c0lC,SP02,"SP02. Obstetric fistula repair (RVF, VVF, RVVF)",Obstetrics,3.1
3,,,MkpBT2vT5Ea,SP03,SP03. Evacuations (incomplete abortion),Obstetrics,3.1
4,,,IYWgEa8BVrm,SP04,SP04. Other Obstetric Surgery,Obstetrics,3.1
5,,,v70YDEPYNmu,CS01,CS01. Thoracotomy,Cardiothoracic Surgery,3.4
6,,,InpXo2p84TL,CS02,CS02. Coronary artery bypass graft,Cardiothoracic Surgery,3.4
7,,,N3ZBSDlbCOB,CS03,CS03. Heart valve surgery,Cardiothoracic Surgery,3.4
8,,,yzJGgK2gkKv,CS04,CS04. Atrio/ventricular septal defect surgery,Cardiothoracic Surgery,3.4
9,,,bc3yiLh7BDD,CS05,CS05. Chest tube insertion,Cardiothoracic Surgery,3.4
10,,,Wr9KVsGQLd4,GN01,GN01. Laparotomy for ovarian surgery,Gynaecology,3.2
11,,,lR9X9RCGwNx,GN02,GN02. Abdominal hysterectomy,Gynaecology,3.2
12,,,ucpSiMvW6WA,GN03,GN03. Vaginal hysterectomy,Gynaecology,3.2
13,,,Ai45siHVs0U,GN04,GN04. Myomectomy,Gynaecology,3.2
14,,,rrCNknVDR4M,GN05,GN05. Laparotomy for ectopic pregnancy,Gynaecology,3.2
15,,,wSEiwbzS12h,GN06,GN06. Other gynaecological surgery,Gynaecology,3.2
16,,,vNHfWrPtBdh,PR01,PR01. Skin grafting,Plastic Surgery,3.3
17,,,WOIQPJ0Q4ch,PR02,PR02. Release of contractures (burns),Plastic Surgery,3.3
18,,,vdt4YnvpmUd,PR03,PR03. Cleft lip and palate surgery,Plastic Surgery,3.3
19,,,ohXcG1L3DqI,PR04,PR04. Burns management,Plastic Surgery,3.3
20,,,kZwLRNvQnby,PR05,PR05. Scar revisions,Plastic Surgery,3.3
21,,,GujGx9Ci89n,VS01,VS01. Varicose vein - ligation & stripping,Vascular Surgery,3.5
22,,,LqiYBWdxeW7,VS02,VS02. Repair of abdominal aortic aneurysm,Vascular Surgery,3.5
23,,,Pda0kNZCTbm,VS03,VS03. Other vascular surgery,Vascular Surgery,3.5
24,,,SmFAlm1PgYQ,PS01,PS01. Laparotomy for intussusception,Paediatric Surgery,3.6
25,,,K6TjpCYCC2t,PS02,PS02. Neonatal laparotomy,Paediatric Surgery,3.6
26,,,iqQy1EQQXwA,PS03,PS03. Neonatal colostomy,Paediatric Surgery,3.6
27,,,cZZzWLRMeph,PS04,PS04. Pull through,Paediatric Surgery,3.6
28,,,U8YFuKAmbGO,PS05,PS05. Ramstedt's pyloromyotomy,Paediatric Surgery,3.6
29,,,JcKxXChRZIn,PS06,PS06. Gastroschisis repair,Paediatric Surgery,3.6
30,,,gvQM2vI6GKw,PS07,PS07.Stoma placement,Paediatric Surgery,3.6
31,,,p7I8eXtvCtH,PS08,PS08. Other paediatric surgery,Paediatric Surgery,3.6
32,,,XDyaUqmBzdI,OC01,OC01. Cataract Surgery,Ocular Surgery,3.7
33,,,TOyterBj30O,OC02,OC02. Glaucoma Surgery,Ocular Surgery,3.7
