"id","code","name"
2,C4oUitImBPK,HMIS 033b - Weekly Epidemiological Surveillance Report
3,onFoQ4ko74y,HMIS 097b - VHT/ICCM Quarterly Report
4,ijQTwdoFdC3,HMIS 104 - NTDS MDA Implementation Report
5,RtEYsASU7PG,"HMIS 105:01 - OPD Monthly Report (Attendance, Referrals, Conditions,TB, Nutrition)"
6,ic1BSWhGOso,"HMIS 105:02-03 - OPD Monthly Report (MCH, FP, EID, EPI & HEPB)"
7,nGkMm2VBT4G,HMIS 105:04-05 - OPD Monthly Report (HTS & SMC)
8,VDhwrW9DiC1,"HMIS 105:06-09 - OPD Monthly Report (Supplies, Outreaches & Supervision)"
9,quMWqLxzcfO,HMIS 105:10 - OPD Monthly Report (Lab)
10,GyD9wEs2NYG,HMIS 105B.1: Child Immunization Addendum Report
11,V6TqjXm5sQy,HMIS 105C- Palliative Care Monthly Report
12,IAtaRO1bTAO,HMIS 105a - Specialized Outpatient monthly report
13,dFRD2A5fdvn,HMIS 106a:01-02 - HIV Quarterly Report
14,DFMoIONIalm,HMIS 106a:03 - TB/Leprosy Quarterly Report
15,GwSIuQVi8b2,HMIS 106a:04 - Lab Quarterly Report
16,qwSAQ1CIkjp,HMIS 107 -  Health Unit Population and Annual Report
17,atRhxzpCbC1,HMIS 107a - Subcounty Annual Population Projection Report
18,A9MFd92O3GZ,HMIS 107c - Health Facility Human Resource Inventory
19,EBqVAQRmiPm,HMIS 108 - IPD Monthly Report
20,AJPsbEM4KH7,HMIS 108a - Specialised Inpatient Monthly Report
21,bv6CZdughvo,HMIS 110 - District Health Facility  WASH Report
22,GcShGHoBAI0,HMIS 111 - District School WASH Summary Report
23,Vw6UqgPheNN,HMIS 127b - Visceral Leishmaniasis Inpatient Monthly Report
24,zXyh8jaafWj,HMIS 128b - Visceral Leishmaniasis Outpatient Monthly Report
25,gNAL8O4QLiR,HMIS Forms Stock Status
26,YXQPPYkg1f2,HMIS MAL 002 - Malaria Vector Monthly Reporting Form
27,JmneeJ5WLij,LMIS: TWOS - TB First Line Report
28,Z04NUtAIIWc,LMIS: TWOS TB MDR Report
29,EyK1YaS3WyH,LMIS: Test Kits Report
30,LbRczM2QQSN,LMIS: WAOS  Report
31,tysBVPpTYmy,Seasonal Malaria Chemoprevention (SMC) 
32,urGNhbeoTMV,Targets : Estimated TB cases and TB Targets
33,h3yQLOKaljs,Targets : Estimated TB cases and TB Targets Weekly
34,NLmYDbAYwNO,_Estimates: Projected Population Estimates By Age
35,X5XpcuXLyV2,_HMIS 108 - IPD Monthly Report_Clone
36,G8auYvRfXVi,_HMIS 108a - Specialised Inpatient Monthly Report-original
37,CsWUodw6Kbq,test
