"id","dataset_id","dataset_code","dataset_name","dataelement_id","dataelement_code","dataelement_name","created_at","section_id"
1,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,E8rU6SWAcIB,"108-MC01","108-MC01. Reproductive system",2025-08-20 10:39:54.296,
2,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,FwNJD2RlyfX,"108-PR078","108-PR078. Breast reconstruction",2025-08-20 10:39:54.395,
3,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Oi25Tc9WDiL,"108-TS03","108-TS03. Nasal surgery",2025-08-20 10:39:54.397,
4,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,vf0VgcuRSym,"108-CA11","108-CA11. Burkitt Lymphoma - Cases",2025-08-20 10:39:54.397,
5,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,RXPwgce8vco,"108-CA02A","108-CA02a. Prostate Cancer  - Cases",2025-08-20 10:39:54.397,
6,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Uf7APQIbOzl,"108-RT06","108-RT06. Sickle cell Disease",2025-08-20 10:39:54.398,
7,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,DHoJw575WLD,"108-MC01A","108-MC01a. Abortions due to Gender Based Violence (GBV)  - Cases",2025-08-20 10:39:54.398,
8,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,oQiuuiJwmYQ,"108-CA16B","108-CA16. Oral Cancers- Deaths",2025-08-20 10:39:54.398,
9,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,TTQUftZqrM9,"108-EC09A","108-EC09a. Other eye conditions  - Cases",2025-08-20 10:39:54.399,
10,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,RGyFGigYArb,"108-MH18","108-MH18. Intellectual disability",2025-08-20 10:39:54.399,
11,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,F0d8x2uFFGy,"108-SP04_2019","108-SP04_2019. Laparotomy",2025-08-20 10:39:54.399,
12,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,Y1biSYPLuHl,"108-MC04A","108-MC04a. High blood pressure in pregnancy  - Cases",2025-08-20 10:39:54.400,
13,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,CJae9c7sI7f,"108-GD12A","108-GD12a. Aplastic Anaemia  - Cases",2025-08-20 10:39:54.400,
14,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,JeALw6paf8K,"108-OC07","108-OC07. Pterygium excision",2025-08-20 10:39:54.401,
15,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,DMw36RjdbFF,"108-RT03","108-RT03. Gynaecology",2025-08-20 10:39:54.401,
16,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,yv29ldwWIHE,"108-NS08_2019","108-NS08_2019. Elevation of depressed skull fracture",2025-08-20 10:39:54.401,
17,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,nXox7WQx9TE,"108-HF08A","108-HF08a. Presumptive MDR TB Cases  - Cases",2025-08-20 10:39:54.402,
18,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,YXiRy13J8ss,"108-FG02","108-FG02. Barium meal",2025-08-20 10:39:54.402,
19,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,wPibKro0oHZ,"108-GD04A","108-GD04a. Gastro-esophageal reflux disease (GERD)  - Cases",2025-08-20 10:39:54.402,
20,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,wrZHKuHvODn,"108-MC12A","108-MC12a. Other Complications of pregnancy  - Cases",2025-08-20 10:39:54.402,
21,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,FJdpnF1uLL3,"108-PT03","108-PT03. Mental",2025-08-20 10:39:54.403,
22,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,nfrl00O8GUa,"108-FG03","108-FG03. Barium follow-through",2025-08-20 10:39:54.403,
23,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,nwAiQ0eKbWk,"108-UR04","108-UR04. Testicular Surgery (Orchidopexy, ochidectomy,BSO)",2025-08-20 10:39:54.403,
24,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,yla08nBdBKT,"108-CA12B","108-CA12a. Other forms of lymphomas - Deaths",2025-08-20 10:39:54.403,
25,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,vlAE4TnSEC4,"108-CA19b","108-CA19b. Ovarian cancer  - Deaths",2025-08-20 10:39:54.404,
26,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,raA4iDPPWbn,"108-GI11_2019","108-GI11_2019. Herniorrhaphy",2025-08-20 10:39:54.404,
27,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,YLvsUOL8WEs,"108-MG01A","108-MG01a. Bacterial Meningitis  - Cases",2025-08-20 10:39:54.404,
28,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,ZDOXr72PIRo,"108-EN03A","108-EN03a. Other ENT conditions  - Cases",2025-08-20 10:39:54.404,
29,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,CS2ZHUFBbfS,"108-NT08A","108-NT08a. Skin NTDs and other skin diseases - Cases",2025-08-20 10:39:54.404,
30,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,b7XWAQx1lJi,"108-HS03","108-HS03. Pancreatic surgery",2025-08-20 10:39:54.405,
31,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,oetCmJsi1kn,"108-RA04","108-RA04. Spine",2025-08-20 10:39:54.405,
32,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,pzJFoINfkef,"108-IN02A","108-IN02a. Jaw injuries  - Cases",2025-08-20 10:39:54.405,
33,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,v0mwWVHLsE0,"108-OR06_2019","108-OR06_2019. Bone reconstruction",2025-08-20 10:39:54.405,
34,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,f9N0OUZiPqv,"108-ND05B2","108-ND05b2. Neonatal Sepsis(<2.5kgs) - Deaths",2025-08-20 10:39:54.405,
35,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,xRoQvrhFzQk,"108-NT07A","108-NT07a. Nodding Syndrome  - Cases",2025-08-20 10:39:54.405,
36,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,qkHXPPOeGEK,"108-ME05B","108-ME05b. Acute renal failure  - Deaths",2025-08-20 10:39:54.405,
37,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,dMjMeJhBwLY,"108-EC01B","108-EC01b. Ophthalmic Neonatorum  - Deaths",2025-08-20 10:39:54.406,
38,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,lf7Mt2NefM4,"108-TB03","108-TB03. No. of presumptive TB cases diagnosed with TB",2025-08-20 10:39:54.406,
39,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,MkpBT2vT5Ea,"108-SP03","108-SP03. Evacuations (incomplete abortion)",2025-08-20 10:39:54.406,
40,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,gyIxURfKEia,"108-CA04B","108-CA04b. Lung Cancer - Deaths",2025-08-20 10:39:54.406,
41,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,OVXwex3hHG6,"108-IN01a1","108-IN01a1. Motor Vehicle  - Cases",2025-08-20 10:39:54.406,
42,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,RNoPse2lznb,"108-RD03B","108-RD03b. Chronic Kidney Diseases  - Deaths",2025-08-20 10:39:54.406,
43,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,S1mwgZM4Me0,"108-AC04","108-AC04. Burns",2025-08-20 10:39:54.407,
44,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,PIySVhx6DJS,"108-FG06","108-FG06. The 'instant' enema",2025-08-20 10:39:54.407,
45,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,i3xjciE89Uv,"108-NA01e","108-NA01e. No. of SAM Clients in ITC this month - Transfer in ITC",2025-08-20 10:39:54.407,
46,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,yPGlU5Xqjm2,"108-MC08B","108-MC08b. Obstetric Fistula  - Deaths",2025-08-20 10:39:54.407,
47,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,d0SAmcQD81f,"108-RM05A","108-RM05a. Systemic Lupus Erythematous  - Cases",2025-08-20 10:39:54.407,
48,EBqVAQRmiPm,HMIS108,HMIS 108 - IPD Monthly Report,nzgeBjLfGwa,"108-RR01","108-RR01. Referral for AP",2025-08-20 10:39:54.407,
