id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
1,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,huBy3W5qiD2,"29Dys-4Yrs, Female"
2,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,Crc5reUlspd,"5-9Yrs, Female"
3,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,F1rms8f9I9a,"5-9Yrs, Male"
4,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,wDiX34aiw6i,"0-28Dys, Female"
5,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,zh2zAaHyYQx,"0-28Dys, Male"
6,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,u3CkZqMHfHP,"10-19Yrs, Female"
7,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,c7gvocRdg0f,"10-19Yrs, Male"
8,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,XVHTeecEOM3,"20+Yrs, Female"
9,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,dCKzhhINakS,"20+Yrs, Male"
10,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,huBy3W5qiD2,"29Dys-4Yrs, Female"
11,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
12,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
13,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
14,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
15,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,huBy3W5qiD2,"29Dys-4Yrs, Female"
16,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,dCKzhhINakS,"20+Yrs, Male"
17,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,XVHTeecEOM3,"20+Yrs, Female"
18,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,c7gvocRdg0f,"10-19Yrs, Male"
19,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,u3CkZqMHfHP,"10-19Yrs, Female"
20,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,zh2zAaHyYQx,"0-28Dys, Male"
21,242,CA01,Cervical Cancer,1199,Overlapping lesion of cervix uteri,1.3.11,Cancers,z07394519Gs,wDiX34aiw6i,"0-28Dys, Female"
22,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,F1rms8f9I9a,"5-9Yrs, Male"
23,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,Crc5reUlspd,"5-9Yrs, Female"
24,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,V2OuNTRI6ua,"29Dys-4Yrs, Male"
25,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,huBy3W5qiD2,"29Dys-4Yrs, Female"
26,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,dCKzhhINakS,"20+Yrs, Male"
27,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
28,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
29,242,MC13,Cervical cancer,1200,"Cervix uteri, unspecified",1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
30,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
31,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
32,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
33,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,huBy3W5qiD2,"29Dys-4Yrs, Female"
34,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,dCKzhhINakS,"20+Yrs, Male"
35,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,XVHTeecEOM3,"20+Yrs, Female"
36,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,c7gvocRdg0f,"10-19Yrs, Male"
37,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,u3CkZqMHfHP,"10-19Yrs, Female"
38,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,zh2zAaHyYQx,"0-28Dys, Male"
39,242,CA01,Cervical Cancer,1200,"Cervix uteri, unspecified",1.3.11,Cancers,z07394519Gs,wDiX34aiw6i,"0-28Dys, Female"
40,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,dCKzhhINakS,"20+Yrs, Male"
41,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,huBy3W5qiD2,"29Dys-4Yrs, Female"
42,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
43,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
44,242,CA01,Cervical Cancer,1197,Endocervix,1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
45,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
46,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
47,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
48,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,dCKzhhINakS,"20+Yrs, Male"
49,242,MC13,Cervical cancer,1197,Endocervix,1.3.22,Maternal Conditions,zJqxJwj1IYw,V2OuNTRI6ua,"29Dys-4Yrs, Male"
50,242,MC13,Cervical cancer,1199,Overlapping lesion of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
51,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,V2OuNTRI6ua,"29Dys-4Yrs, Male"
52,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,Crc5reUlspd,"5-9Yrs, Female"
53,242,CA01,Cervical Cancer,1196,Malignant neoplasm of cervix uteri,1.3.11,Cancers,z07394519Gs,F1rms8f9I9a,"5-9Yrs, Male"
54,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,u3CkZqMHfHP,"10-19Yrs, Female"
55,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,c7gvocRdg0f,"10-19Yrs, Male"
56,242,MC13,Cervical cancer,1196,Malignant neoplasm of cervix uteri,1.3.22,Maternal Conditions,zJqxJwj1IYw,XVHTeecEOM3,"20+Yrs, Female"
