section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid,categoryoptioncombo_name
2.4.1,Family Planning Client Visits,6,Injections DEPO PROVERA,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,BhgBkEr8t85,"New, 15-19Yrs"
2.4.1,Family Planning Client Visits,1,INJECTION (DEPO),FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,ksBfihkwBeu,"New, <15Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,HWLodA23UGt,"New, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,CvQdPZAFY4k,"New, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,z5ewc0K90Q8,"New, 50+Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,YpZHGtTSv2K,"Revisits, 15-19Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,HTMSuJ2wUcx,"Revisits, <15Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,BhfsRQm30RP,"Revisits, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,nAjAOWdxMh8,"Revisits, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP04,Injectable DMPA Intramuscular (3 months),ZVKD2XRg6Ab,UrCqRbuJiSe,"Revisits, 50+Yrs"
2.4.1,Family Planning Client Visits,14,INJECTION SAYANA PRESS,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,T5u86n1a3DC,"Provider Administered (PA), New, 15-19Yrs"
2.4.1,Family Planning Client Visits,9,Sayana,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,tp7yldWAkYk,"Provider Administered (PA), New, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,wkVusUaMa8s,"Provider Administered (PA), New, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,E8eiJihPKmu,"Provider Administered (PA), New, 50+Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,mrDy6kAAz24,"Provider Administered (PA), New, Below 15 years"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,Bc7RNWSNq0K,"Provider Administered (PA), Revisits, 15-19Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,swE9gSx19Mo,"Provider Administered (PA), Revisits, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,NHJVkIDqNaS,"Provider Administered (PA), Revisits, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,rhREGDdBcli,"Provider Administered (PA), Revisits, 50+Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,tHK8oRBsU31,"Provider Administered (PA), Revisits, Below 15 years"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,ih3t4wlUYvU,"Self Injected (SI), New, 15-19Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,YxStS2BawVc,"Self Injected (SI), New, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,mN6yDJTRpOf,"Self Injected (SI), New, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,S7JRyzzYEaD,"Self Injected (SI), New, 50+Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,KWYFvgvLuYs,"Self Injected (SI), New, Below 15 years"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,fH6VjGvonC5,"Self Injected (SI), Revisits, 15-19Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,YCQpDYMxkft,"Self Injected (SI), Revisits, 20-24Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,Fwtx8ytsORC,"Self Injected (SI), Revisits, 25-49Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,o6Ya04iDLKn,"Self Injected (SI), Revisits, 50+Yrs"
2.4.1,Family Planning Client Visits,,,FP05,Injectable DMPA Subcutaneous (3 months),oAqoPQkEf2z,zxiMyEN77M6,"Self Injected (SI), Revisits, Below 15 years"
2.4.1,Family Planning Client Visits,,,FP12,FAM Two Days Method,HnSiI2XX2Sy,BhgBkEr8t85,"New, 15-19Yrs"
