section_id,section_name,category,eafya_labtest_id,eafya_labtest_name,hmis_code,hmis_name,status,dhis2_data_element_id
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE01,Hb (Non automated),,ZYwSMDa5lRO
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),865,Film comment,HE02,Film Comment,,uy82zDUjjCl
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),759,FILM COMMENT,HE02,Film Comment,,uy82zDUjjCl
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),409,COMPLETE BLOOD COUNT (CBC),HE03,CBC,,EHyI7eYeoH1
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),410,RETICULOCYTE COUNT,HE04,Reticulocyte count,,a59ozSxc5Nf
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),408,ERYTHROCYTE SEDIMENTATION RATE (ESR),HE05,ESR,,NfIVbWjrJgg
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),813,ESR,HE05,ESR,,NfIVbWjrJgg
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE06,Bleeding time,,fSqxW8rnjPJ
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),265,PROTHROMBIN TIME,HE07,Prothrombin time,,CXW0ReX8CGY
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),266,PROTHROMBIN TIME INDEX,HE07,Prothrombin time,,CXW0ReX8CGY
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),852,PROTHROMBIN TIME,HE07,Prothrombin time,,CXW0ReX8CGY
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE08,Clotting time,,hERmSDObVoo
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),186,PTI/INR,HE09,PT/INR ,Positive,Ad83DJKiDcq
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),186,PTI/INR,HE09,PT/INR,Negative,dgS5bQLXlnl
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),831,APTT,HE10,APTT,Number Done,yZo1ZXzFVTx
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),831,APTT,HE10,APTT ,Positive,gMKw8wWc6IH
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),834,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),HE10,APTT ,Number Done,yZo1ZXzFVTx
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),834,APTT (ACTIVATED PARTIAL THROMBOPLASTIN TIME),HE10,APTT ,Positive,gMKw8wWc6IH
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),412,ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT),HE10,APTT ,Number Done,yZo1ZXzFVTx
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),412,ACTIVATED PARTIAL THROMBOPLASTIN TIME (APTT),HE10,APTT ,Positive,gMKw8wWc6IH
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE11,Sickle Cell,Done ,LpM6ADG2duN
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE11,Sickle Cell,Positive,zMcPisBKSZM
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE11,Sickle Cell,Disease Confirmed,gpYLUiKrNHx
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE11,Sickle Cell,Disease Confirmed,Da2nbJXyvFD
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE12,Others,Done ,FvpSeAddsKQ
10.2.1,Number of Routine Tests Done in Facility Laboratory,HEMATOLOGY (BLOOD),,,HE12,Others,Positive,TjA2XpEWM5B
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,,,BT01,AHG (Comb's Test),Done ,QJpefO3BuLI
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,,,BT01,AHG (Comb's Test),Positive,cxhuYzdHB5s
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,,,BT02,ABO Grouping,Done ,ozre5Ynz0z6
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,,,BT03,Rhesus Grouping,Done ,PSR0ZkLuXZc
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,842,cross matching,BT04,Cross Matching,Done ,asWZcgcckzZ
10.2.1,Number of Routine Tests Done in Facility Laboratory,BLOOD TRANSFUSION,,,BT05,Auto immune antibodies,Number Done,oWp3y7CArEU
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,,,BT05,Auto immune antibodies,Number Positive,Wtl3AK0zl7K
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,204,CD4 COUNT,IG01,CD4 test,Number Done ,uPzFvnylwxF
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,377,CD4 ABSOLUTE COUNT,IG01,CD4 test,Number Done ,uPzFvnylwxF
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,413,CD4/CD8 RATIO,IG01,CD4 test,Number Done ,uPzFvnylwxF
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,864,TB-LAM,IG02,TB LAM,Number Done,V3pwu7dz5bE
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,864,TB-LAM,IG02,TB LAM,Number Positive,k7ut0wuDciZ
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,,,IG03,CRP,Number Done,d9f2PISTS6A
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,,,IG03,CRP,Number Positive,Gdsh69w1ULd
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,,,IG04,Others,Number Done,ioFXvXGyrFY
10.2.1,Number of Routine Tests Done in Facility Laboratory,IMMUNOLOGY,,,IG04,Others,Number Positive,Sllv4L02jGv
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",,,MB01,Auramine (FM) for AFBs,,N2tdd2oVD7j
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",,,MB01,Auramine (FM) for AFBs,,HEVh1IAiSns
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",190,ZN STAIN (AFB),MB02,ZN for AFBs,Done,Rc9Rhl5IzHB
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",190,ZN STAIN (AFB),MB02,ZN for AFBs,Positive,ERiU13xMW1o
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",,,MB03,Leishman Stain,Done,nOBfsFT3Phs
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",,,MB03,Leishman Stain,Positive,PS2RpCXHCda
10.2.1,Number of Routine Tests Done in Facility Laboratory,"MICROBIOLOGY (CSF, URINE, STOOL, BLOOD, SPUTUM, SWABS)",96,GRAM STAIN,MB04,Gram Stain,Done,UMWxzjiDLIN
