section_id,section_name,eafya_id,eafya_name,hmis_code,hmis_name,data_element_id,categoryoptioncombo_uid
2.2,Maternity,,,MA19,HIV+ male partners initiated on ART in the maternity setting,Z2baA5Kr5Uz,HllvX50cXC0
2.2,Maternity,,,MA20,No. of discordant couples identified in maternity,nLf9PdXCkDk,HllvX50cXC0
2.2,Maternity,,,MA21,Deliveries to HIV+ women in unit,wOvonjgfh4b,HllvX50cXC0
2.2,Maternity,,,MA21,Deliveries to HIV+ women in unit,jHUIBmkOBZs,HllvX50cXC0
2.2,Maternity,,,MA22,HIV Exposed infants given ARVs,OUGMxrtXxri,HllvX50cXC0
2.2,Maternity,,,MA22,HIV Exposed infants given ARVs,OUGMxrtXxri,HllvX50cXC0
2.2,Maternity,,,MA23,No. of babies with Birth asphyxia,nnmOsAUssg9,HllvX50cXC0
2.2,Maternity,,,MA24,No. of Live babies Successfully Resuscitated,h5qpxtCVwAp,HllvX50cXC0
2.2,Maternity,,,MA25,No. received PNC check at 6 hours after birth,VBN3wvLEZjW,HllvX50cXC0
2.2,Maternity,,,MA25,No. received PNC check at 6 hours after birth,UrX15EcK8BZ,HllvX50cXC0
2.2,Maternity,,,MA26,No. received PNC within 24 hours after birth,WaiJyDDNwE7,HllvX50cXC0
2.2,Maternity,,,MA26,No. received PNC within 24 hours after birth,wPrRIRfODlP,HllvX50cXC0
2.2,Maternity,,,MA27,No. of women who received Uterotonics in management of 3rd stage of labour,nA0w3UvRDpD,HllvX50cXC0
2.2,Maternity,,,MA27,No. of women who received Uterotonics in management of 3rd stage of labour,IRfdGnNJzGW,HllvX50cXC0
2.2,Maternity,,,MA27,No. of women who received Uterotonics in management of 3rd stage of labour,qBXjgpcV5zX,HllvX50cXC0
2.2,Maternity,,,MA27,No. of women who received Uterotonics in management of 3rd stage of labour,SxPXVqUFskM,HllvX50cXC0
2.2,Maternity,,,MA28,No. of women who received Uterotonics as treatment of post partum haemorrhage (PPH),PU4JyVtmAYY,HllvX50cXC0
2.2,Maternity,,,MA28,No. of women who received Uterotonics as treatment of post partum haemorrhage (PPH),hawWpaDwa8v,HllvX50cXC0
2.2,Maternity,,,MA28,No. of women who received Uterotonics as treatment of post partum haemorrhage (PPH),ziCT29DWKRC,HllvX50cXC0
2.2,Maternity,,,MA28,No. of women who received Uterotonics as treatment of post partum haemorrhage (PPH),nTMjQrqEa8m,HllvX50cXC0
2.2,Maternity,,,MA01,Admissions,JY0M7eC2N42,HllvX50cXC0
2.2,Maternity,,,MA02,Referrals to maternity unit,AGmXoLiT89x,HllvX50cXC0
2.2,Maternity,,,MA02,Referrals to maternity unit,TMF6CkVvMuD,HllvX50cXC0
2.2,Maternity,,,MA03,Referrals from maternity,YNqGVS6GEyo,HllvX50cXC0
2.2,Maternity,,,MA03,Referrals from maternity,YNqGVS6GEyo,HllvX50cXC0
2.2,Maternity,,,MA03,Referrals from maternity,YNqGVS6GEyo,HllvX50cXC0
2.2,Maternity,,,MA03,Referrals from maternity,YNqGVS6GEyo,HllvX50cXC0
2.2,Maternity,,,MA03,Referrals from maternity,YNqGVS6GEyo,HllvX50cXC0
2.2,Maternity,,,MA04,Total deliveries in the unit,idXOxt69W0e,PwuKTzy4vLJ
2.2,Maternity,,,MA04,Total deliveries in the unit,idXOxt69W0e,JtoaNPpY2BF
2.2,Maternity,,,MA04,Total deliveries in the unit,idXOxt69W0e,c9JPAeQh49R
2.2,Maternity,,,MA04,Total deliveries in the unit,idXOxt69W0e,QGprPUGJp4N
2.2,Maternity,,,MA04,Total deliveries in the unit,idXOxt69W0e,sxBbkmHxnBP
2.2,Maternity,,,MA05a,Births in the unit - Live births,fEz9wGsA6YU,HllvX50cXC0
2.2,Maternity,,,MA05a,Births in the unit - Live births,P1MyPWVxi5T,HllvX50cXC0
2.2,Maternity,,,MA05b,Births in the unit - Fresh still birth,T8W0wbzErSF,HllvX50cXC0
2.2,Maternity,,,MA05b,Births in the unit - Fresh still birth,bl6lQqygEK1,HllvX50cXC0
2.2,Maternity,,,MA05c,Births in the unit - Macerated still birth,ULL9lX3DO7V,HllvX50cXC0
2.2,Maternity,,,MA05c,Births in the unit - Macerated still birth,MzqiroyuhJh,HllvX50cXC0
2.2,Maternity,,,MA06,Mothers admitted with preterm labour,ggpPDJ3rI0X,HllvX50cXC0
2.2,Maternity,,,MA07,Pre-term births in the unit,ZxL2RoPyzOq,HllvX50cXC0
2.2,Maternity,,,MA08,No. of pre-term low birth weight babies (<2.5 Kg) initiated on kangaroo (KMC),X6rK1GHbLYp,HllvX50cXC0
2.2,Maternity,,,MA09,Live babies at discharge,H1oTelCAQry,HllvX50cXC0
2.2,Maternity,,,MA10,No. of Babies received LLINs,hflXW2kyPa9,HllvX50cXC0
2.2,Maternity,,,MA11,Total No. of Babies born with defects,vfpZ4FqOTwm,HllvX50cXC0
2.2,Maternity,,,MA11,Total No. of Babies born with defects,sGxfXHTmRGN,HllvX50cXC0
2.2,Maternity,,,MA12,Newborn deaths (0-7 days),hrTskGHP0Av,HllvX50cXC0
2.2,Maternity,,,MA13,Maternal deaths,F8Iz6QcexWB,PwuKTzy4vLJ
2.2,Maternity,,,MA13,Maternal deaths,F8Iz6QcexWB,JtoaNPpY2BF
2.2,Maternity,,,MA13,Maternal deaths,F8Iz6QcexWB,c9JPAeQh49R
2.2,Maternity,,,MA13,Maternal deaths,F8Iz6QcexWB,QGprPUGJp4N
