"id","code","name"
1,yWdrn6SiVZ9,"0-14Yrs, Female"
2,cYyEc50MCQD,"0-14Yrs, Female, Completed TPT"
3,jCi3qflHbto,"0-14Yrs, Female, Died during TPT"
4,NFNV30tIn8T,"0-14Yrs, Female, Known"
5,I9rhhp9Ep7m,"0-14Yrs, Female, Lost to follow up before TPT completion"
6,OE9AdLE48yj,"0-14Yrs, Female, New"
7,Oe7u7LN3lCB,"0-14Yrs, Female, Stopped TPT - Developed TB"
8,Ovm9l8EFRvt,"0-14Yrs, Female, Stopped TPT - Others"
9,HB5gEsstkOr,"0-14Yrs, Female, Total expected to complete TPT"
10,yabsZCXTQRM,"0-14Yrs, Male"
11,P87libr507G,"0-14Yrs, Male, Completed TPT"
12,jku9n1tBIJk,"0-14Yrs, Male, Died during TPT"
13,Ve34gUv8xMH,"0-14Yrs, Male, Known"
14,P3h7tX6m2f6,"0-14Yrs, Male, Lost to follow up before TPT completion"
15,d0tWwN5O6NO,"0-14Yrs, Male, New"
16,mXsHFCgGFMO,"0-14Yrs, Male, Stopped TPT - Developed TB"
17,qIVd59h7TUT,"0-14Yrs, Male, Stopped TPT - Others"
18,oBBpPNwyASD,"0-14Yrs, Male, Total expected to complete TPT"
19,fkeMwVLKUyi,"0-28 days, Female"
20,ZKBA93ujVUb,"0-28 days, IPD, Female"
21,Dl7O1Q76Rru,"0-28 days, IPD, Male"
22,wcbqTyLOCYU,"0-28 days, Male"
23,LLEs4Wd1fWp,"0-28 days, OPD, Female"
24,WDvavzeShuD,"0-28 days, OPD, Male"
25,GdduvrcNYkB,"0-28Dys, Female"
26,K4M65qyFKx8,"0-28Dys, Female"
27,wDiX34aiw6i,"0-28Dys, Female"
28,ilrKcsh5Koe,"0-28Dys, Female, Non-serious"
29,GGq56A6VDOH,"0-28Dys, Female, Serious"
30,RhoE1S8EhxJ,"0-28Dys, Male"
31,dFaNjoO4Dne,"0-28Dys, Male"
32,zh2zAaHyYQx,"0-28Dys, Male"
33,aLAvdKNngLj,"0-28Dys, Male, Non-serious"
34,DLDsKwcRbg6,"0-28Dys, Male, Serious"
35,rPm7S0XR6y5,"0-28Dys, Other Forms, Female, Known"
36,jigBnz63OTq,"0-28Dys, Other Forms, Female, New"
37,yLZc30LWI7w,"0-28Dys, Other Forms, Male, Known"
38,aYOggKgf2qf,"0-28Dys, Other Forms, Male, New"
39,xiPkaXwl9ms,"0-28Dys, Type 1, Female, Known"
40,nAZQLi9ChTO,"0-28Dys, Type 1, Female, New"
41,o4fk3rHHseQ,"0-28Dys, Type 1, Male, Known"
42,CAYeUFk6h2C,"0-28Dys, Type 1, Male, New"
43,lIpLLko3oYh,"0-28Dys, Type 2, Female, Known"
44,MHhAUffOozk,"0-28Dys, Type 2, Female, New"
45,CUIwMsXbjaQ,"0-28Dys, Type 2, Male, Known"
46,oE6bFATemdI,"0-28Dys, Type 2, Male, New"
47,JKMVQm6XWfV,"0-4Yrs"
48,s1Q38Ll9WxL,"0-4Yrs"
49,ZSNuLoKhPVV,"0-4Yrs, Cryoprecitates"
50,jJAa709ViiX,"0-4Yrs, DC"
51,Be8oaAc8kiF,"0-4Yrs, Female"
52,GUfy9I92CV9,"0-4Yrs, Female"
53,NYHvlXEt4Ak,"0-4Yrs, Female"
54,U1R0U9SKSMQ,"0-4Yrs, Female"
55,VZrxjCi8cQi,"0-4Yrs, Female"
56,Vw05E7W9pGH,"0-4Yrs, Female"
57,eVDw2n6znx0,"0-4Yrs, Female"
58,fYmeYgfEZkp,"0-4Yrs, Female"
59,kFencUvCZfb,"0-4Yrs, Female"
60,sAQClMmRmE8,"0-4Yrs, Female"
61,zFShLriNlnd,"0-4Yrs, Female"
62,etWBvovwX8t,"0-4Yrs, Female, CCLAD"
63,LR8IUlTCyyK,"0-4Yrs, Female, CDDP"
64,IvV23IbLuDh,"0-4Yrs, Female, Completed"
65,TkLCM5ZGp71,"0-4Yrs, Female, Completed"
66,UQWfqXDWLz1,"0-4Yrs, Female, Completed TPT"
67,LVAMuZYCccC,"0-4Yrs, Female, Developed TB"
68,StTnm0O76Nt,"0-4Yrs, Female, Developed TB"
69,TNVRAmATdrG,"0-4Yrs, Female, Died"
70,hzAamPm0Jcg,"0-4Yrs, Female, Died"
71,FgtqincRcKy,"0-4Yrs, Female, Died during TPT"
72,vHytq0JkhdE,"0-4Yrs, Female, FBG"
73,T5Ttfw5UvKb,"0-4Yrs, Female, FBIM"
74,rxbxF0EQyOn,"0-4Yrs, Female, FTDR"
75,Ea1LiwXp5OX,"0-4Yrs, Female, LTFP"
76,QY4zvnREIxR,"0-4Yrs, Female, LTFP"
77,pnSsuneBju4,"0-4Yrs, Female, Lost to follow up before TPT completion"
78,JS7Jm6iBME0,"0-4Yrs, Female, Other TPT Outcomes"
79,sdsHsJ0wtqg,"0-4Yrs, Female, Other TPT Outcomes"
80,CKz3FLisvCG,"0-4Yrs, Female, Stopped TPT - Developed TB"
81,lq4fEPpkMXK,"0-4Yrs, Female, Stopped TPT - Others"
82,fJ6LKSvctjR,"0-4Yrs, Female, Total expected to complete TPT"
83,DavaNexv4B0,"0-4Yrs, FreshFrozenPlasma"
84,NhaCkK1zH9U,"0-4Yrs, Male"
85,SkEFXSIXCat,"0-4Yrs, Male"
86,Yt8Pj1Hun6T,"0-4Yrs, Male"
87,fBCAcU6zHCS,"0-4Yrs, Male"
88,iJGEyb6TpyT,"0-4Yrs, Male"
89,oyUtCcwSVhd,"0-4Yrs, Male"
90,r6izn2XFqEc,"0-4Yrs, Male"
91,rCzvys285kN,"0-4Yrs, Male"
92,u61PsXzKvDB,"0-4Yrs, Male"
93,woMPIaJwDxy,"0-4Yrs, Male"
94,z3NspVeS6Mm,"0-4Yrs, Male"
95,ZAXwzpth52y,"0-4Yrs, Male, CCLAD"
96,kjYuGLeiDvF,"0-4Yrs, Male, CDDP"
97,Bnjt9jNERkH,"0-4Yrs, Male, Completed"
98,fgHkDyZJglm,"0-4Yrs, Male, Completed"
99,KiCjmg9heae,"0-4Yrs, Male, Completed TPT"
100,EVAhSFoxXhm,"0-4Yrs, Male, Developed TB"
101,SJewCVDR9TW,"0-4Yrs, Male, Developed TB"
102,gc86xK8M8zE,"0-4Yrs, Male, Died"
103,nqYr70ZFiqP,"0-4Yrs, Male, Died"
104,QLrTzPxjof3,"0-4Yrs, Male, Died during TPT"
105,BOGp5TJUInl,"0-4Yrs, Male, FBG"
106,QpH1D9YLlu0,"0-4Yrs, Male, FBIM"
107,K9tbN5WeoO7,"0-4Yrs, Male, FTDR"
108,fA3F8WoR9aC,"0-4Yrs, Male, LTFP"
109,jNrYGQ93Bz3,"0-4Yrs, Male, LTFP"
110,EIVULQ3zVgy,"0-4Yrs, Male, Lost to follow up before TPT completion"
111,Pw1Ays7Bfx6,"0-4Yrs, Male, Other TPT Outcomes"
112,x4T46935Xc6,"0-4Yrs, Male, Other TPT Outcomes"
113,PbLgfRFBXBH,"0-4Yrs, Male, Stopped TPT - Developed TB"
114,rdNXgeRLOLj,"0-4Yrs, Male, Stopped TPT - Others"
115,kBBybCActvS,"0-4Yrs, Male, Total expected to complete TPT"
116,W0c9c064ctW,"0-4Yrs, PackedCells"
117,H4Ldg9UvuR0,"0-4Yrs, Platelets"
118,zKWLT0b45bp,"0-4Yrs, SC"
119,T1ocSiVc8GY,"0-4Yrs, Wholeblood"
120,VOOkKOAttyR,"0-5Mths, Female"
121,lNQXRx60Jwi,"0-5Mths, Female"
122,vljv8U8YSeI,"0-5Mths, Female"
123,aX0wUexib7b,"0-5Mths, Female, MAM"
124,ndtsvdGHjug,"0-5Mths, Female, Non Pregnant"
125,B6MavaLzIYy,"0-5Mths, Female, Overweight/obese"
126,XeaEIXBA7d9,"0-5Mths, Female, Pregnant/Lactating"
127,C0CvKvvvrMV,"0-5Mths, Female, SAM with Oedema"
128,QRNP5FrCs5G,"0-5Mths, Female, SAM without oedema"
129,CrvgFFCSlTm,"0-5Mths, Female, Underweight"
130,KTFWWcdg6xx,"0-5Mths, Male"
131,NdimbHlmGB1,"0-5Mths, Male"
132,TfZvUi36x3E,"0-5Mths, Male"
133,xucW4PZA2QF,"0-5Mths, Male, MAM"
134,OkRvJwqPGXW,"0-5Mths, Male, Non Pregnant"
135,omR5DttTJy0,"0-5Mths, Male, Overweight/obese"
136,ruRteVgDKeL,"0-5Mths, Male, Pregnant/Lactating"
137,BqldZczQ7PN,"0-5Mths, Male, SAM with Oedema"
138,E4h75uHjJTN,"0-5Mths, Male, SAM without oedema"
139,OIjqaVy2LsO,"0-5Mths, Male, Underweight"
140,FKRqahzufqA,"0-5Yrs, Female"
141,SfFT3GBJEb6,"0-5Yrs, Male"
142,El1WCLEfU1W,"0-60Dys"
143,o4rwb7lQcCI,"0-60Dys, DC"
144,aVUUL7UMbLO,"0-60Dys, SC"
145,ClCnXJQjOpW,"0-6Mths"
146,nusEBjg8bes,"0-6Mths, Female"
