id,hmis_code,hmis_name
1,SS01,Artemether/Lumefantrine 120/20 mg 
2,SS02,Artesunate 60mg 
3,SS03,Long Lasting Insecticidal Nets (LLINs) 
4,SS04,Chlorhexidine Digluconate Gel 7.1% (equivalent to 4% chlorhexidine)
5,SS05,Therapeutic milk F75 (75Kcal/100ml) 
6,SS06,Ready to use Therapeutic feeds (RUTF) 
7,SS07,Oral Liquid Morphine 5ml/ml 
8,SS08,Retinol (Vitamin A) 200000IU
9,SS09,Bendrofluazide 5mg 
10,SS10, Amlodipine 5mg
11,SS11,Captopril 25mg tablet 
12,SS12,Metformin 500mg
13,SS13,Glimepiride 2mg
14,SS14,Insulin short-acting 100IU/Ml  
15,SS15,Filled Oxygen Cylinder (Big Size) 40-60L WC/6.8m3 GC
16,SS16,Ferrous sulphate + Folic Acid
17,SS17,Salbutamol inhaler
18,SS18,Carbamazepine 200mg
19,SS19,Fluoxetine 20 mg
20,SS20,Chlorpromazine 25mg
21,SS21,Depot Medroxyprogesterone Acetate (DMPA)_ IM + SC
22,SS22,Amoxicillin 250 mg capsule 
23,SS23,Amoxicillin dispersible 250mg tablet 
24,SS24,Sulfadoxine/ Pyrimethamine tablet 
25,SS25,Misoprostol 200mg
26,SS26,ORS Sachets with zinc tablet
27,SS27,Measles-Rubella Vaccine
28,SS28,Ceftriaxone 1g Injection 
29,SS29,Oxytocin Injection 
30,SS30,Mama Kit 
31,SS31,Etonogestrel 68mg Implant (Implanon)
32,SS32,Male Condoms
33,SS33,CD4 reagent (BD Presto/Visitect/PIMA)
34,SS34,Malaria Rapid Diagnostic tests 
35,SS35,TB GeneXepert Catridges 
36,SS36,Determine HIV 1 & 2 screening test 
37,SS37,"Stat -pack HIV Confirmatory rapid tests, tests"
38,SS38,SD Bioline test-Tie Breaker 
39,SS39,Blood Product 
40,SS40,"Hepatitis, HBsAg2 Test Kits"
41,SS41,HIV/Syphilis Duo Kit
42,SS42,Tenofovir/Lamivudine/Dolutegravir (TDF/3TC/DTG) 300/300/50mg
43,SS43,Abacavir/Lamivudine/Dolutegravir (ABC/3TC/DTG) 600/300/50mg
44,SS44,Zidovudine/Lamivudine (AZT/3TC) 300/150mg
45,SS45,Abacavir/Lamivudine/Dolutegravir (ABC/3TC/DTG) 60/30/5mg
46,SS46,Zidovudine/Lamivudine (AZT/3TC) 60/30mg
47,SS47,Nevirapine (NVP) 10mg/ml oral susp
48,SS48,Ethambutol 100mg
49,SS49,RHZE 150/75/400/275mg
50,SS50,RHZ 75/50/150mg
