"id","section_id","section_name","hmis_code","hmis_name","disease_id","five_character_icd_code","four_character_icd_code","disease_name","simplified_name"
1,"1.3.0",EP01. Malaria,EP01a, Suspected Fever,8222,R50.2,R502,Drug-induced fever,''
2,"1.3.0",EP01. Malaria,EP01a, Suspected Fever,8221,R50,R50,Fever of other and unknown origin,"Fever Unspecific, "
3,"1.3.0",EP01. Malaria,EP01a, Suspected Fever,8224,R50.9,R509,"Fever, unspecified","Hyperpyrexia NOS, Pyrexia NOS, "
4,"1.3.0",EP01. Malaria,EP01a, Suspected Fever,8223,R50.8,R508,Other specified fever,"Fever with chills, Fever with rigors, Persistent fever, "
5,"1.3.0",EP01. Malaria,EP01a, Suspected Fever,453,A98,A98,"Other viral haemorrhagic fevers, not elsewhere classified",''
6,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,716,B51.8,B518,Plasmodium vivax malaria with other complications,''
7,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,717,B51.9,B519,Plasmodium vivax malaria without complication,"Plasmodium vivax malaria NOS, "
8,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,717,B51.9,B519,Plasmodium vivax malaria without complication,"Plasmodium vivax malaria NOS, "
9,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,718,B52,B52,Plasmodium malariae malaria,"mixed infections of Plasmodium malariae with other Plasmodium species, except Plasmodium falciparum and Plasmodium vivax, "
10,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,718,B52,B52,Plasmodium malariae malaria,"mixed infections of Plasmodium malariae with other Plasmodium species, except Plasmodium falciparum and Plasmodium vivax, "
11,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,719,B52.0,B520,Plasmodium malariae malaria with nephropathy,''
12,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,719,B52.0,B520,Plasmodium malariae malaria with nephropathy,''
13,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,720,B52.8,B528,Plasmodium malariae malaria with other complications,''
14,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,720,B52.8,B528,Plasmodium malariae malaria with other complications,''
15,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,721,B52.9,B529,Plasmodium malariae malaria without complication,"Plasmodium malariae malaria NOS, "
16,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,721,B52.9,B529,Plasmodium malariae malaria without complication,"Plasmodium malariae malaria NOS, "
17,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01b, Malaria Confirmed (Microscopic & RDT),722,B53,B53,Other parasitologically confirmed malaria,"Confirmed Malaria, "
18,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,722,B53,B53,Other parasitologically confirmed malaria,"Confirmed Malaria, "
19,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01d, Malaria cases treated,723,B53.0,B530,Plasmodium ovale malaria,''
20,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,723,B53.0,B530,Plasmodium ovale malaria,''
21,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,724,B53.1,B531,Malaria due to simian plasmodia,''
22,"1.3.1 ","1.3.1 Epidemic-Prone Diseases",EP01e, Malaria Total,725,B53.8,B538,"Other parasitologically confirmed malaria, not elsewhere classified","Parasitologically confirmed malaria NOS, "
