id,hmis_code,hmis_name,section_id,section_name
1,BT01,AHG ,10.2.1,Blood Transfusion
2,BT02,ABO Grouping ,10.2.1,Blood Transfusion
3,BT03,Rhesus Grouping ,10.2.1,Blood Transfusion
4,BT04,Cross Matching ,10.2.1,Blood Transfusion
5,BT05,Auto immune antibodies ,10.2.1,Blood Transfusion
6,CS01,Blood ,10.2.2,Culture & Sensitivty
7,CS02,Urine ,10.2.2,Culture & Sensitivty
8,CS03,Stool ,10.2.2,Culture & Sensitivty
9,CS04,Urogenital Swabs ,10.2.2,Culture & Sensitivty
10,CS05,Sputum ,10.2.2,Culture & Sensitivty
11,CS06 ,CSF ,10.2.2,Culture & Sensitivty
12,CS07 ,Pus/wound swabs ,10.2.2,Culture & Sensitivty
13,CS08 ,Other swabs ,10.2.2,Culture & Sensitivty
14,CS09 ,Others ,10.2.2,Culture & Sensitivty
15,CX01,Alkaline Phosphate ,10.2.3,Other Clinical Chemistry Tests
16,CX02,Amylase ,10.2.3,Other Clinical Chemistry Tests
17,CX03,Glucose ,10.2.3,Other Clinical Chemistry Tests
18,CX04,Total Bilirubin ,10.2.3,Other Clinical Chemistry Tests
19,CX05,Lipase ,10.2.3,Other Clinical Chemistry Tests
20,CX06,AFPCX,10.2.3,Other Clinical Chemistry Tests
21,CX07,LDH ,10.2.3,Other Clinical Chemistry Tests
22,CX08,Lactate ,10.2.3,Other Clinical Chemistry Tests
23,CX09,Uric Acid ,10.2.3,Other Clinical Chemistry Tests
24,CX10,CRP ,10.2.3,Other Clinical Chemistry Tests
25,CX11,Others ,10.2.3,Other Clinical Chemistry Tests
26,HE01,Hb (non automated) ,10.2.4,Hematology (Blood)
27,HE02,Film Comment,10.2.4,Hematology (Blood)
28,HE03,CBC ,10.2.4,Hematology (Blood)
29,HE04,Reticulocyte count,10.2.4,Hematology (Blood)
30,HE05,ESR ,10.2.4,Hematology (Blood)
31,HE06,Bleeding time ,10.2.4,Hematology (Blood)
32,HE07,Prothrombin time ,10.2.4,Hematology (Blood)
33,HE08,Clotting time ,10.2.4,Hematology (Blood)
34,HE09,PT/INR,10.2.4,Hematology (Blood)
35,HE10,APTT,10.2.4,Hematology (Blood)
36,HE11,Sickle Cell ,10.2.4,Hematology (Blood)
37,HE12,Others,10.2.4,Hematology (Blood)
38,HP01,Determine,10.2.5,Summary of HIV Tests By Purpose
39,HP02,Statpak,10.2.5,Summary of HIV Tests By Purpose
40,HP03,SD Bioline,10.2.5,Summary of HIV Tests By Purpose
41,HP04,HIV Syphilis DUO,10.2.5,Summary of HIV Tests By Purpose
42,HP05,Oraquick (Self Testing),10.2.5,Summary of HIV Tests By Purpose
43,HP06,HIV Recency Testing,10.2.5,Summary of HIV Tests By Purpose
44,IG01,CD4 test ,10.2.6,Immunology
45,IG02,TB LAM ,10.2.6,Immunology
