section_id,hmis_code,hmis_name,eafya_id,eafya_name
1.3.3,62,Neonatal Tetanus,190,Other tetanus
1.3.3,62,Neonatal Tetanus,189,Obstetrical tetanus
1.3.3,62,Neonatal Tetanus,188,Tetanus neonatorum
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7137,Sepsis of newborn due to anaerobes
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7138,Other bacterial sepsis of newborn
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7139,"Bacterial sepsis of newborn, unspecified"
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7131,Bacterial sepsis of newborn
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7132,"Sepsis of newborn due to streptococcus, group B"
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7133,Sepsis of newborn due to other and unspecified streptococci
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7134,Sepsis of newborn due to Staphylococcus aureus
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7135,Sepsis of newborn due to other and unspecified staphylococci
1.3.3,194,ND01. Neonatal Sepsis(0-7days),7136,Sepsis of newborn due to Escherichia coli
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7136,Sepsis of newborn due to Escherichia coli
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7138,Other bacterial sepsis of newborn
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7137,Sepsis of newborn due to anaerobes
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7135,Sepsis of newborn due to other and unspecified staphylococci
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7131,Bacterial sepsis of newborn
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7132,"Sepsis of newborn due to streptococcus, group B"
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7133,Sepsis of newborn due to other and unspecified streptococci
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7134,Sepsis of newborn due to Staphylococcus aureus
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7135,Sepsis of newborn due to other and unspecified staphylococci
1.3.3,195,ND02. Neonatal Sepsis(8-28days),7139,"Bacterial sepsis of newborn, unspecified"
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7083,"Congenital pneumonia, unspecified"
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7080,Congenital pneumonia due to Pseudomonas
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7081,Congenital pneumonia due to other bacterial agents
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7077,Congenital pneumonia due to staphylococcus
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7076,Congenital pneumonia due to Chlamydia
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7075,Congenital pneumonia due to viral agent
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7074,Congenital pneumonia
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7082,Congenital pneumonia due to other organisms
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7078,"Congenital pneumonia due to streptococcus, group B"
1.3.3,196,ND03. Neonatal Pneumonia (0-7days),7079,Congenital pneumonia due to Escherichia coli
1.3.3,197,ND05. Neonatal Meningitis,7140,Other congenital infectious and parasitic diseases
1.3.3,197,ND05. Neonatal Meningitis,22649,Neonatal meningitis 
1.3.3,198,ND06. Neonatal Jaundice,7206,Neonatal jaundice due to bleeding
1.3.3,198,ND06. Neonatal Jaundice,7219,"Neonatal jaundice, unspecified"
1.3.3,198,ND06. Neonatal Jaundice,7218,Neonatal jaundice from other specified causes
1.3.3,198,ND06. Neonatal Jaundice,7217,Neonatal jaundice from breast milk inhibitor
1.3.3,198,ND06. Neonatal Jaundice,7216,Neonatal jaundice from other and unspecified hepatocellular damage
1.3.3,198,ND06. Neonatal Jaundice,7214,Neonatal jaundice associated with preterm delivery
1.3.3,198,ND06. Neonatal Jaundice,7213,Neonatal jaundice from other and unspecified causes
1.3.3,198,ND06. Neonatal Jaundice,7212,"Neonatal jaundice due to excessive haemolysis, unspecified"
1.3.3,198,ND06. Neonatal Jaundice,7211,Neonatal jaundice due to other specified excessive haemolysis
1.3.3,198,ND06. Neonatal Jaundice,7210,Neonatal jaundice due to swallowed maternal blood
1.3.3,198,ND06. Neonatal Jaundice,7209,Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn
1.3.3,198,ND06. Neonatal Jaundice,7208,Neonatal jaundice due to polycythaemia
1.3.3,198,ND06. Neonatal Jaundice,7207,Neonatal jaundice due to infection
1.3.3,198,ND06. Neonatal Jaundice,7205,Neonatal jaundice due to bruising
1.3.3,198,ND06. Neonatal Jaundice,7204,Neonatal jaundice due to other excessive haemolysis
1.3.3,200,ND08. Other Neonatal Conditions,7272,Other neonatal peritonitis
1.3.3,200,ND08. Other Neonatal Conditions,7186,Other neonatal gastrointestinal haemorrhage
1.3.3,200,ND08. Other Neonatal Conditions,7236,Other neonatal hypoglycaemia
1.3.3,200,ND08. Other Neonatal Conditions,7182,Other neonatal haemorrhages
1.3.3,200,ND08. Other Neonatal Conditions,22539,Preterm newborn unspecified 
1.3.3,200,ND08. Other Neonatal Conditions,22529,Preterm newborn 
1.3.3,200,ND08. Other Neonatal Conditions,22530,Preterm newborn gestational age 28 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22531,Preterm newborn gestational age 29 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22532,Preterm newborn gestational age 30 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22533,Preterm newborn gestational age 31 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22534,Preterm newborn gestational age 32 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22535,Preterm newborn gestational age 33 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22536,Preterm newborn gestational age 34 completed weeks 
1.3.3,200,ND08. Other Neonatal Conditions,22537,Preterm newborn gestational age 35 completed weeks 
